I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
-68, -102, -34, 85, -17, -68, 58, 0, -14, -53, -68, -43, 43, 24, 19, 
-68, -97, -29, 82, -19, -63, 58, 0, -9, -48, -68, -39, 39, 29, 19, 
-68, -92, -24, 80, -21, -58, 58, 0, -4, -43, -68, -34, 34, 34, 19, 
-68, -87, -19, 78, -24, -53, 58, 0, 0, -39, -68, -29, 29, 39, 19, 
-78, -78, 0, 78, -39, -39, 68, 0, 0, -29, -63, -19, 39, 48, 29, 
-78, -78, 0, 78, -39, -39, 68, 0, 0, -29, -58, -19, 39, 48, 29, 
-78, -78, 0, 78, -39, -39, 68, 0, 0, -29, -53, -19, 39, 48, 29, 
-78, -78, 0, 78, -39, -39, 68, 0, 0, -29, -48, -19, 39, 48, 29, 
-92, -78, 14, 85, -53, -31, 78, 9, 4, -24, -39, -9, 39, 58, 39, 
-97, -78, 19, 87, -58, -29, 78, 19, 9, -19, -39, -9, 39, 58, 39, 
-102, -78, 24, 90, -63, -26, 78, 29, 14, -14, -39, -9, 39, 58, 39, 
-107, -78, 29, 92, -68, -24, 78, 39, 19, -9, -39, -9, 39, 58, 39, 
-112, -68, 43, 90, -78, -12, 68, 29, 19, -9, -39, -9, 39, 48, 39, 
-117, -68, 48, 92, -82, -9, 68, 29, 19, -9, -39, -9, 39, 48, 39, 
-122, -68, 53, 95, -87, -7, 68, 29, 19, -9, -39, -9, 39, 48, 39, 
-126, -68, 58, 97, -92, -4, 68, 29, 19, -9, -39, -9, 39, 48, 39, 
-122, -68, 53, 95, -87, -7, 68, 29, 9, -9, -39, -29, 39, 58, 39, 
-117, -68, 48, 92, -82, -9, 68, 29, 9, -9, -39, -39, 39, 58, 39, 
-112, -68, 43, 90, -78, -12, 68, 29, 9, -9, -39, -48, 39, 58, 39, 
-107, -68, 39, 87, -73, -14, 68, 29, 9, -9, -39, -58, 39, 58, 39, 
-117, -58, 58, 87, -87, 0, 78, 19, 9, -9, -39, -68, 29, 63, 48, 
-117, -58, 58, 87, -87, 0, 78, 19, 9, -9, -39, -78, 29, 68, 48, 
-117, -58, 58, 87, -87, 0, 78, 19, 9, -9, -39, -87, 29, 73, 48, 
-117, -58, 58, 87, -87, 0, 78, 19, 9, -9, -39, -97, 29, 78, 48, 
-122, -68, 53, 95, -87, -7, 78, 29, 9, -9, -39, -117, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 78, 29, 9, -9, -39, -126, 39, 78, 48, 
-131, -68, 63, 100, -97, -2, 78, 29, 9, -9, -39, -136, 39, 78, 48, 
-136, -68, 68, 102, -102, 0, 78, 29, 9, -9, -39, -146, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 87, 29, 9, -19, -48, -156, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 87, 29, 9, -19, -48, -165, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 87, 29, 9, -19, -48, -175, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 87, 29, 9, -19, -48, -185, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 78, 29, 9, -29, -48, -185, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 78, 29, 9, -29, -48, -185, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 78, 29, 9, -29, -48, -185, 39, 78, 48, 
-126, -68, 58, 97, -92, -4, 78, 29, 9, -29, -48, -185, 39, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 29, 0, -29, -58, -175, 39, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 29, 0, -29, -58, -175, 39, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 29, 0, -29, -58, -175, 39, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 29, 0, -29, -58, -175, 39, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 39, 0, -39, -58, -170, 29, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 39, 0, -39, -58, -165, 29, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 39, 0, -39, -58, -161, 29, 78, 48, 
-126, -58, 68, 92, -97, 4, 78, 39, 0, -39, -58, -156, 29, 78, 48, 
-136, -48, 87, 92, -112, 19, 87, 48, 0, -39, -58, -141, 29, 78, 53, 
-136, -48, 87, 92, -112, 19, 87, 48, 0, -39, -58, -136, 29, 78, 58, 
-136, -48, 87, 92, -112, 19, 87, 48, 0, -39, -58, -131, 29, 78, 63, 
-136, -48, 87, 92, -112, 19, 87, 48, 0, -39, -58, -126, 29, 78, 68, 
-136, -58, 78, 97, -107, 9, 87, 48, 9, -29, -68, -117, 29, 78, 58, 
-136, -58, 78, 97, -107, 9, 87, 48, 9, -29, -68, -117, 29, 78, 58, 
-136, -58, 78, 97, -107, 9, 87, 48, 9, -29, -68, -117, 29, 78, 58, 
-136, -58, 78, 97, -107, 9, 87, 48, 9, -29, -68, -117, 29, 78, 58, 
-146, -68, 78, 107, -112, 4, 87, 58, 0, -29, -78, -112, 29, 87, 68, 
-146, -68, 78, 107, -112, 4, 87, 58, 0, -29, -78, -107, 29, 87, 68, 
-146, -68, 78, 107, -112, 4, 87, 58, 0, -29, -78, -102, 29, 87, 68, 
-146, -68, 78, 107, -112, 4, 87, 58, 0, -29, -78, -97, 29, 87, 68, 
-156, -58, 97, 107, -126, 19, 87, 68, 9, -29, -87, -87, 29, 97, 68, 
-156, -58, 97, 107, -126, 19, 87, 68, 9, -29, -87, -87, 29, 97, 68, 
-156, -58, 97, 107, -126, 19, 87, 68, 9, -29, -87, -87, 29, 97, 68, 
-156, -58, 97, 107, -126, 19, 87, 68, 9, -29, -87, -87, 29, 97, 68, 
-156, -58, 97, 107, -126, 19, 97, 68, 9, -29, -87, -78, 19, 97, 68, 
-156, -58, 97, 107, -126, 19, 97, 68, 9, -29, -87, -78, 19, 97, 68, 
-156, -58, 97, 107, -126, 19, 97, 68, 9, -29, -87, -78, 19, 97, 68, 
-156, -58, 97, 107, -126, 19, 97, 68, 9, -29, -87, -78, 19, 97, 68, 
-156, -58, 97, 107, -126, 19, 107, 82, 19, -19, -97, -73, 19, 102, 78, 
-156, -58, 97, 107, -126, 19, 107, 87, 19, -19, -97, -68, 19, 107, 78, 
-156, -58, 97, 107, -126, 19, 107, 92, 19, -19, -97, -63, 19, 112, 78, 
-156, -58, 97, 107, -126, 19, 107, 97, 19, -19, -97, -58, 19, 117, 78, 
-165, -58, 107, 112, -136, 24, 117, 107, 19, -29, -97, -39, 29, 117, 87, 
-165, -58, 107, 112, -136, 24, 117, 107, 19, -29, -97, -29, 29, 117, 87, 
-165, -58, 107, 112, -136, 24, 117, 107, 19, -29, -97, -19, 29, 117, 87, 
-165, -58, 107, 112, -136, 24, 117, 107, 19, -29, -97, -9, 29, 117, 87, 
-170, -48, 122, 109, -146, 36, 122, 112, 24, -24, -97, 0, 29, 122, 97, 
-175, -48, 126, 112, -151, 39, 126, 117, 29, -19, -97, 9, 29, 126, 97, 
-180, -48, 131, 114, -156, 41, 131, 122, 34, -14, -97, 19, 29, 131, 97, 
-185, -48, 136, 117, -161, 43, 136, 126, 39, -9, -97, 29, 29, 136, 97, 
-185, -58, 126, 122, -156, 34, 146, 136, 48, -9, -97, 43, 19, 146, 97, 
-185, -58, 126, 122, -156, 34, 146, 136, 48, -9, -97, 48, 19, 146, 97, 
-185, -58, 126, 122, -156, 34, 146, 136, 48, -9, -97, 53, 19, 146, 97, 
-185, -58, 126, 122, -156, 34, 146, 136, 48, -9, -97, 58, 19, 146, 97, 
-195, -48, 146, 122, -170, 48, 151, 151, 63, -4, -97, 63, 19, 151, 107, 
-195, -48, 146, 122, -170, 48, 156, 156, 68, 0, -97, 68, 19, 156, 107, 
-195, -48, 146, 122, -170, 48, 161, 161, 73, 4, -97, 73, 19, 161, 107, 
-195, -48, 146, 122, -170, 48, 165, 165, 78, 9, -97, 78, 19, 165, 107, 
-204, -39, 165, 122, -185, 63, 170, 180, 92, 19, -97, 82, 9, 170, 117, 
-204, -39, 165, 122, -185, 63, 175, 185, 97, 19, -97, 87, 9, 175, 117, 
-204, -39, 165, 122, -185, 63, 180, 190, 102, 19, -97, 92, 9, 180, 117, 
-204, -39, 165, 122, -185, 63, 185, 195, 107, 19, -97, 97, 9, 185, 117, 
-209, -29, 180, 119, -195, 75, 200, 209, 112, 24, -87, 97, 9, 200, 122, 
-214, -29, 185, 122, -200, 78, 204, 214, 117, 29, -87, 97, 9, 204, 126, 
-219, -29, 190, 124, -204, 80, 209, 219, 122, 34, -87, 97, 9, 209, 131, 
-224, -29, 195, 126, -209, 82, 214, 224, 126, 39, -87, 97, 9, 214, 136, 
-229, -29, 200, 129, -214, 85, 219, 229, 131, 43, -78, 92, 9, 229, 146, 
-234, -29, 204, 131, -219, 87, 224, 234, 136, 48, -78, 87, 9, 234, 146, 
-239, -29, 209, 134, -224, 90, 229, 239, 141, 53, -78, 82, 9, 239, 146, 
-244, -29, 214, 136, -229, 92, 234, 244, 146, 58, -78, 78, 9, 244, 146, 
-244, -24, 219, 134, -231, 97, 248, 258, 161, 63, -87, 63, 4, 258, 151, 
-244, -19, 224, 131, -234, 102, 253, 263, 165, 68, -87, 58, 0, 263, 156, 
-244, -14, 229, 129, -236, 107, 258, 268, 170, 73, -87, 53, -4, 268, 161, 
-244, -9, 234, 126, -239, 112, 263, 273, 175, 78, -87, 48, -9, 273, 165, 
-258, 4, 263, 126, -261, 134, 278, 283, 190, 82, -82, 34, -19, 287, 170, 
-263, 9, 273, 126, -268, 141, 283, 292, 195, 87, -78, 29, -19, 292, 175, 
-268, 14, 283, 126, -275, 148, 287, 302, 200, 92, -73, 24, -19, 297, 180, 
-273, 19, 292, 126, -283, 156, 292, 312, 204, 97, -68, 19, -19, 302, 185, 
-297, 9, 307, 143, -302, 158, 307, 322, 214, 112, -63, 4, -19, 317, 190, 
-312, 9, 322, 151, -317, 165, 312, 322, 224, 117, -58, 0, -19, 322, 195, 
-326, 9, 336, 158, -331, 173, 317, 322, 234, 122, -53, -4, -19, 326, 200, 
-341, 9, 351, 165, -346, 180, 322, 322, 244, 126, -48, -9, -19, 331, 204, 
-351, 19, 370, 165, -361, 195, 326, 326, 248, 131, -34, -14, -29, 336, 214, 
-351, 19, 370, 165, -361, 195, 331, 331, 253, 136, -29, -19, -29, 341, 214, 
-351, 19, 370, 165, -361, 195, 336, 336, 258, 141, -24, -24, -29, 346, 214, 
-351, 19, 370, 165, -361, 195, 341, 341, 263, 146, -19, -29, -29, 351, 214, 
-356, 24, 380, 165, -368, 202, 341, 351, 273, 156, -19, -34, -39, 356, 219, 
-361, 29, 390, 165, -375, 209, 341, 351, 273, 156, -19, -39, -39, 361, 224, 
-366, 34, 400, 165, -383, 217, 341, 351, 273, 156, -19, -43, -39, 366, 229, 
-370, 39, 409, 165, -390, 224, 341, 351, 273, 156, -19, -48, -39, 370, 234, 
-380, 43, 424, 168, -402, 234, 346, 361, 278, 165, -9, -39, -39, 375, 239, 
-380, 48, 429, 165, -405, 239, 351, 361, 283, 175, 0, -39, -39, 380, 244, 
-380, 53, 434, 163, -407, 244, 356, 361, 287, 185, 9, -39, -39, 385, 248, 
-380, 58, 439, 161, -409, 248, 361, 361, 292, 195, 19, -39, -39, 390, 253, 
-385, 58, 444, 163, -414, 251, 356, 346, 302, 204, 24, -34, -48, 380, 253, 
-390, 58, 448, 165, -419, 253, 351, 341, 302, 204, 29, -29, -48, 380, 253, 
-395, 58, 453, 168, -424, 256, 346, 336, 302, 204, 34, -24, -48, 380, 253, 
-400, 58, 458, 170, -429, 258, 341, 331, 302, 204, 39, -19, -48, 380, 253, 
-400, 58, 458, 170, -429, 258, 331, 322, 302, 214, 48, -4, -53, 370, 244, 
-400, 58, 458, 170, -429, 258, 331, 322, 302, 214, 48, 0, -58, 370, 244, 
-400, 58, 458, 170, -429, 258, 331, 322, 302, 214, 48, 4, -63, 370, 244, 
-400, 58, 458, 170, -429, 258, 331, 322, 302, 214, 48, 9, -68, 370, 244, 
-395, 68, 463, 163, -429, 265, 317, 307, 312, 229, 58, 29, -78, 366, 234, 
-390, 78, 468, 156, -429, 273, 312, 302, 312, 234, 68, 39, -78, 361, 234, 
-385, 87, 473, 148, -429, 280, 307, 297, 312, 239, 78, 48, -78, 356, 234, 
-380, 97, 478, 141, -429, 287, 302, 292, 312, 244, 87, 58, -78, 351, 234, 
-361, 107, 468, 126, -414, 287, 292, 283, 302, 253, 92, 73, -78, 341, 229, 
-351, 107, 458, 122, -405, 283, 283, 273, 302, 253, 97, 87, -78, 331, 224, 
-341, 107, 448, 117, -395, 278, 273, 263, 302, 253, 102, 102, -78, 322, 219, 
-331, 107, 439, 112, -385, 273, 263, 253, 302, 253, 107, 117, -78, 312, 214, 
-312, 107, 419, 102, -366, 263, 248, 239, 297, 253, 122, 136, -78, 292, 195, 
-302, 107, 409, 97, -356, 258, 234, 224, 292, 253, 126, 146, -78, 283, 185, 
-292, 107, 400, 92, -346, 253, 219, 209, 287, 253, 131, 156, -78, 273, 175, 
-283, 107, 390, 87, -336, 248, 204, 195, 283, 253, 136, 165, -78, 263, 165, 
-253, 117, 370, 68, -312, 244, 185, 180, 263, 239, 136, 180, -78, 239, 151, 
-234, 117, 351, 58, -292, 234, 175, 165, 253, 234, 136, 195, -78, 224, 146, 
-214, 117, 331, 48, -273, 224, 165, 151, 244, 229, 136, 209, -78, 209, 141, 
-195, 117, 312, 39, -253, 214, 156, 136, 234, 224, 136, 224, -78, 195, 136, 
-170, 102, 273, 34, -222, 187, 141, 122, 219, 204, 131, 234, -73, 180, 126, 
-156, 97, 253, 29, -204, 175, 126, 107, 204, 195, 126, 234, -68, 165, 117, 
-141, 92, 234, 24, -187, 163, 112, 92, 190, 185, 122, 234, -63, 151, 107, 
-126, 87, 214, 19, -170, 151, 97, 78, 175, 175, 117, 234, -58, 136, 97, 
-107, 82, 190, 12, -148, 136, 78, 63, 161, 156, 107, 244, -48, 122, 78, 
-97, 78, 175, 9, -136, 126, 68, 48, 146, 146, 97, 244, -48, 107, 68, 
-87, 73, 161, 7, -124, 117, 58, 34, 131, 136, 87, 244, -48, 92, 58, 
-78, 68, 146, 4, -112, 107, 48, 19, 117, 126, 78, 244, -48, 78, 48, 
-58, 68, 126, -4, -92, 97, 34, 0, 97, 117, 63, 234, -39, 68, 34, 
-48, 68, 117, -9, -82, 92, 29, -9, 87, 107, 58, 234, -39, 58, 29, 
-39, 68, 107, -14, -73, 87, 24, -19, 78, 97, 53, 234, -39, 48, 24, 
-29, 68, 97, -19, -63, 82, 19, -29, 68, 87, 48, 234, -39, 39, 19, 
-14, 53, 68, -19, -41, 61, 9, -48, 58, 78, 43, 224, -29, 29, 14, 
-9, 48, 58, -19, -34, 53, 0, -58, 48, 68, 39, 224, -29, 19, 9, 
-4, 43, 48, -19, -26, 46, -9, -68, 39, 58, 34, 224, -29, 9, 4, 
0, 39, 39, -19, -19, 39, -19, -78, 29, 48, 29, 224, -29, 0, 0, 
9, 39, 29, -24, -9, 34, -19, -78, 19, 43, 19, 214, -29, -4, -9, 
9, 39, 29, -24, -9, 34, -19, -78, 19, 39, 19, 214, -29, -9, -9, 
9, 39, 29, -24, -9, 34, -19, -78, 19, 34, 19, 214, -29, -14, -9, 
9, 39, 29, -24, -9, 34, -19, -78, 19, 29, 19, 214, -29, -19, -9, 
19, 29, 9, -24, 4, 19, -29, -82, 14, 19, 9, 209, -19, -29, -19, 
19, 29, 9, -24, 4, 19, -29, -87, 9, 19, 9, 204, -19, -29, -19, 
19, 29, 9, -24, 4, 19, -29, -92, 4, 19, 9, 200, -19, -29, -19, 
19, 29, 9, -24, 4, 19, -29, -97, 0, 19, 9, 195, -19, -29, -19, 
19, 19, 0, -19, 9, 9, -39, -102, -9, 9, 9, 185, -19, -29, -19, 
19, 19, 0, -19, 9, 9, -39, -107, -9, 9, 9, 185, -19, -29, -19, 
19, 19, 0, -19, 9, 9, -39, -112, -9, 9, 9, 185, -19, -29, -19, 
19, 19, 0, -19, 9, 9, -39, -117, -9, 9, 9, 185, -19, -29, -19, 
19, 19, 0, -19, 9, 9, -39, -117, -19, 0, 0, 180, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -117, -19, 0, 0, 175, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -117, -19, 0, 0, 170, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -117, -19, 0, 0, 165, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -19, 0, 0, 165, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -19, 0, 0, 165, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -19, 0, 0, 165, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -19, 0, 0, 165, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 156, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 156, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 156, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 156, -19, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 146, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 146, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 146, -9, -39, -19, 
19, 19, 0, -19, 9, 9, -39, -126, -29, -9, 0, 146, -9, -39, -19, 
19, 29, 9, -24, 4, 19, -39, -126, -19, -9, 0, 146, -9, -29, -19, 
19, 29, 9, -24, 4, 19, -39, -126, -19, -9, 0, 146, -9, -29, -19, 
19, 29, 9, -24, 4, 19, -39, -126, -19, -9, 0, 146, -9, -29, -19, 
19, 29, 9, -24, 4, 19, -39, -126, -19, -9, 0, 146, -9, -29, -19, 
9, 29, 19, -19, -4, 24, -48, -126, -24, -9, -9, 136, -9, -39, -19, 
9, 29, 19, -19, -4, 24, -48, -126, -29, -9, -9, 136, -9, -39, -19, 
9, 29, 19, -19, -4, 24, -48, -126, -34, -9, -9, 136, -9, -39, -19, 
9, 29, 19, -19, -4, 24, -48, -126, -39, -9, -9, 136, -9, -39, -19, 
0, 24, 24, -12, -12, 24, -48, -136, -39, -19, -19, 126, -19, -39, -19, 
0, 19, 19, -9, -9, 19, -48, -136, -39, -19, -19, 126, -19, -39, -19, 
0, 14, 14, -7, -7, 14, -48, -136, -39, -19, -19, 126, -19, -39, -19, 
0, 9, 9, -4, -4, 9, -48, -136, -39, -19, -19, 126, -19, -39, -19, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, -9, 126, -19, -39, -19, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, -9, 126, -19, -39, -19, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, -9, 126, -19, -39, -19, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, -9, 126, -19, -39, -19, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, 0, 126, -9, -29, -9, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, 0, 126, -9, -29, -9, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, 0, 126, -9, -29, -9, 
-9, 19, 29, -4, -19, 24, -48, -126, -29, -9, 0, 126, -9, -29, -9, 
0, 9, 9, -4, -4, 9, -39, -122, -29, -19, -9, 117, -19, -19, -9, 
0, 9, 9, -4, -4, 9, -39, -117, -29, -19, -9, 117, -19, -19, -9, 
0, 9, 9, -4, -4, 9, -39, -112, -29, -19, -9, 117, -19, -19, -9, 
0, 9, 9, -4, -4, 9, -39, -107, -29, -19, -9, 117, -19, -19, -9, 
0, 19, 19, -9, -9, 19, -48, -107, -29, -19, 0, 107, -19, -29, -19, 
0, 19, 19, -9, -9, 19, -48, -107, -29, -19, 0, 107, -19, -29, -19, 
0, 19, 19, -9, -9, 19, -48, -107, -29, -19, 0, 107, -19, -29, -19, 
0, 19, 19, -9, -9, 19, -48, -107, -29, -19, 0, 107, -19, -29, -19, 
0, 19, 19, -9, -9, 19, -48, -102, -24, -9, 0, 97, -19, -19, -9, 
0, 19, 19, -9, -9, 19, -48, -97, -19, -9, 0, 97, -19, -19, -9, 
0, 19, 19, -9, -9, 19, -48, -92, -14, -9, 0, 97, -19, -19, -9, 
0, 19, 19, -9, -9, 19, -48, -87, -9, -9, 0, 97, -19, -19, -9, 
9, 19, 9, -14, 0, 14, -39, -87, -19, -9, 9, 97, -19, -29, -9, 
9, 19, 9, -14, 0, 14, -39, -87, -19, -9, 9, 97, -19, -29, -9, 
9, 19, 9, -14, 0, 14, -39, -87, -19, -9, 9, 97, -19, -29, -9, 
9, 19, 9, -14, 0, 14, -39, -87, -19, -9, 9, 97, -19, -29, -9, 
9, 29, 19, -19, -4, 24, -39, -78, -9, 0, 9, 87, -19, -19, -9, 
9, 29, 19, -19, -4, 24, -39, -78, -9, 0, 9, 87, -19, -19, -9, 
9, 29, 19, -19, -4, 24, -39, -78, -9, 0, 9, 87, -19, -19, -9, 
9, 29, 19, -19, -4, 24, -39, -78, -9, 0, 9, 87, -19, -19, -9, 
19, 19, 0, -19, 9, 9, -39, -73, -9, 0, 9, 82, -19, -19, 0, 
19, 19, 0, -19, 9, 9, -39, -68, -9, 0, 9, 78, -19, -19, 0, 
19, 19, 0, -19, 9, 9, -39, -63, -9, 0, 9, 73, -19, -19, 0, 
19, 19, 0, -19, 9, 9, -39, -58, -9, 0, 9, 68, -19, -19, 0, 
14, 19, 4, -17, 4, 12, -39, -48, 0, 0, 9, 58, -9, -19, 0, 
9, 19, 9, -14, 0, 14, -39, -48, 0, 0, 9, 58, -9, -19, 0, 
4, 19, 14, -12, -4, 17, -39, -48, 0, 0, 9, 58, -9, -19, 0, 
0, 19, 19, -9, -9, 19, -39, -48, 0, 0, 9, 58, -9, -19, 0, 
9, 19, 9, -14, 0, 14, -39, -39, 9, 9, 19, 68, -19, -9, 0, 
9, 19, 9, -14, 0, 14, -39, -39, 9, 9, 19, 68, -19, -9, 0, 
9, 19, 9, -14, 0, 14, -39, -39, 9, 9, 19, 68, -19, -9, 0, 
9, 19, 9, -14, 0, 14, -39, -39, 9, 9, 19, 68, -19, -9, 0, 
19, 19, 0, -19, 9, 9, -39, -48, 9, 9, 9, 68, -9, -9, -9, 
19, 19, 0, -19, 9, 9, -39, -48, 9, 9, 9, 68, -9, -9, -9, 
19, 19, 0, -19, 9, 9, -39, -48, 9, 9, 9, 68, -9, -9, -9, 
19, 19, 0, -19, 9, 9, -39, -48, 9, 9, 9, 68, -9, -9, -9, 
19, 24, 4, -21, 7, 14, -29, -43, 19, 19, 19, 78, -19, -9, -9, 
19, 29, 9, -24, 4, 19, -29, -39, 19, 19, 19, 78, -19, -9, -9, 
19, 34, 14, -26, 2, 24, -29, -34, 19, 19, 19, 78, -19, -9, -9, 
19, 39, 19, -29, 0, 29, -29, -29, 19, 19, 19, 78, -19, -9, -9, 
24, 39, 14, -31, 4, 26, -29, -19, 19, 19, 19, 82, -19, -9, -9, 
29, 39, 9, -34, 9, 24, -29, -19, 19, 19, 19, 87, -19, -9, -9, 
34, 39, 4, -36, 14, 21, -29, -19, 19, 19, 19, 92, -19, -9, -9, 
39, 39, 0, -39, 19, 19, -29, -19, 19, 19, 19, 97, -19, -9, -9, 
29, 39, 9, -34, 9, 24, -29, -19, 29, 19, 19, 107, -19, -19, -9, 
29, 39, 9, -34, 9, 24, -29, -19, 29, 19, 19, 107, -19, -19, -9, 
29, 39, 9, -34, 9, 24, -29, -19, 29, 19, 19, 107, -19, -19, -9, 
29, 39, 9, -34, 9, 24, -29, -19, 29, 19, 19, 107, -19, -19, -9, 
19, 34, 14, -26, 2, 24, -29, -29, 24, 9, 9, 117, -19, -19, -19, 
19, 29, 9, -24, 4, 19, -29, -29, 19, 9, 9, 117, -19, -19, -19, 
19, 24, 4, -21, 7, 14, -29, -29, 14, 9, 9, 117, -19, -19, -19, 
19, 19, 0, -19, 9, 9, -29, -29, 9, 9, 9, 117, -19, -19, -19, 
24, 24, 0, -24, 12, 12, -39, -29, 19, 19, 19, 122, -19, -9, -9, 
29, 29, 0, -29, 14, 14, -39, -29, 19, 19, 19, 126, -19, -9, -9, 
34, 34, 0, -34, 17, 17, -39, -29, 19, 19, 19, 131, -19, -9, -9, 
39, 39, 0, -39, 19, 19, -39, -29, 19, 19, 19, 136, -19, -9, -9, 
39, 48, 9, -43, 14, 29, -29, -29, 19, 19, 29, 136, -19, -9, -9, 
39, 48, 9, -43, 14, 29, -29, -29, 19, 19, 29, 136, -19, -9, -9, 
39, 48, 9, -43, 14, 29, -29, -29, 19, 19, 29, 136, -19, -9, -9, 
39, 48, 9, -43, 14, 29, -29, -29, 19, 19, 29, 136, -19, -9, -9, 
24, 34, 9, -29, 7, 21, -39, -39, 9, 9, 19, 131, -29, -19, -19, 
19, 29, 9, -24, 4, 19, -39, -39, 9, 9, 19, 126, -29, -19, -19, 
14, 24, 9, -19, 2, 17, -39, -39, 9, 9, 19, 122, -29, -19, -19, 
9, 19, 9, -14, 0, 14, -39, -39, 9, 9, 19, 117, -29, -19, -19, 
14, 29, 14, -21, 0, 21, -48, -39, 9, 9, 19, 107, -29, -19, -19, 
19, 29, 9, -24, 4, 19, -48, -39, 9, 9, 19, 107, -29, -19, -19, 
24, 29, 4, -26, 9, 17, -48, -39, 9, 9, 19, 107, -29, -19, -19, 
29, 29, 0, -29, 14, 14, -48, -39, 9, 9, 19, 107, -29, -19, -19, 
19, 29, 9, -24, 4, 19, -39, -39, 9, 19, 19, 97, -19, -19, -19, 
19, 29, 9, -24, 4, 19, -39, -39, 9, 19, 19, 97, -19, -19, -19, 
