I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
-39, -87, -48, 63, 4, -68, 34, -9, -87, -141, -136, -112, 19, 4, -19, 
-39, -87, -48, 63, 4, -68, 34, 0, -78, -141, -131, -112, 19, 4, -14, 
-39, -87, -48, 63, 4, -68, 39, 4, -68, -131, -126, -102, 19, 4, -9, 
-43, -87, -43, 65, 0, -65, 39, 4, -68, -126, -122, -102, 19, 4, -4, 
-53, -87, -34, 70, -9, -61, 39, 4, -63, -122, -126, -102, 14, 9, 4, 
-53, -87, -34, 70, -9, -61, 39, 4, -53, -112, -122, -102, 14, 19, 9, 
-53, -87, -34, 70, -9, -61, 34, 9, -53, -112, -117, -102, 14, 24, 9, 
-48, -82, -34, 65, -7, -58, 34, 9, -48, -107, -117, -102, 14, 29, 14, 
-58, -73, -14, 65, -21, -43, 43, 4, -53, -107, -117, -107, 9, 29, 24, 
-58, -73, -14, 65, -21, -43, 43, 4, -48, -107, -117, -102, 4, 29, 24, 
-58, -68, -9, 63, -24, -39, 34, 4, -48, -102, -117, -102, 4, 29, 24, 
-58, -68, -9, 63, -24, -39, 34, 4, -48, -102, -117, -102, 0, 24, 24, 
-48, -68, -19, 58, -14, -43, 34, 4, -48, -92, -107, -87, 0, 29, 14, 
-48, -68, -19, 58, -14, -43, 34, 4, -48, -92, -102, -87, 0, 29, 14, 
-48, -73, -24, 61, -12, -48, 34, 4, -48, -97, -102, -87, 0, 29, 9, 
-48, -73, -24, 61, -12, -48, 34, 4, -48, -97, -107, -87, 0, 29, 9, 
-53, -82, -29, 68, -12, -56, 39, -4, -48, -97, -117, -97, 14, 19, 19, 
-53, -82, -29, 68, -12, -56, 39, -4, -48, -97, -117, -97, 14, 19, 14, 
-53, -82, -29, 68, -12, -56, 39, -9, -48, -92, -117, -102, 14, 19, 14, 
-48, -82, -34, 65, -7, -58, 39, -14, -48, -92, -117, -102, 14, 24, 14, 
-58, -87, -29, 73, -14, -58, 39, -4, -58, -107, -117, -102, 24, 14, 9, 
-63, -92, -29, 78, -17, -61, 39, -4, -58, -107, -117, -102, 24, 14, 9, 
-63, -97, -34, 80, -14, -65, 34, -4, -63, -107, -112, -102, 24, 14, 9, 
-63, -102, -39, 82, -12, -70, 34, -4, -63, -107, -112, -107, 24, 14, 9, 
-73, -107, -34, 90, -19, -70, 48, -14, -58, -107, -126, -117, 34, 14, 19, 
-73, -107, -34, 90, -19, -70, 48, -14, -58, -107, -126, -112, 34, 14, 19, 
-73, -107, -34, 90, -19, -70, 48, -14, -58, -107, -126, -112, 34, 19, 14, 
-73, -107, -34, 90, -19, -70, 48, -14, -58, -107, -126, -112, 34, 19, 14, 
-78, -97, -19, 87, -29, -58, 58, -14, -68, -117, -126, -112, 19, 9, 14, 
-78, -97, -19, 87, -29, -58, 63, -14, -68, -117, -126, -117, 19, 9, 14, 
-78, -97, -19, 87, -29, -58, 63, -14, -63, -122, -126, -117, 19, 9, 14, 
-78, -97, -19, 87, -29, -58, 63, -14, -63, -122, -126, -117, 19, 19, 14, 
-82, -97, -14, 90, -34, -56, 68, -9, -63, -122, -126, -117, 19, 9, 14, 
-82, -102, -19, 92, -31, -61, 68, -9, -58, -122, -131, -122, 19, 9, 19, 
-82, -102, -19, 92, -31, -61, 68, -9, -58, -122, -131, -122, 19, 14, 24, 
-82, -107, -24, 95, -29, -65, 68, -9, -58, -122, -131, -122, 19, 14, 24, 
