I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, -39, -19, 29, 0, -29, -9, 161, -302, 9, -9, 73, 
-19, -39, -19, 29, 0, -29, -9, 165, -302, 9, -9, 68, 
-19, -39, -19, 29, 0, -29, -9, 165, -302, 9, -9, 68, 
-19, -39, -19, 29, 0, -29, -9, 165, -302, 9, -9, 68, 
-19, -39, -19, 29, 0, -29, -9, 165, -302, 4, -9, 68, 
-19, -39, -19, 29, 0, -29, -9, 165, -302, 0, -9, 68, 
-19, -34, -14, 26, -2, -24, -9, 165, -302, 0, -4, 68, 
-19, -29, -9, 24, -4, -19, -9, 165, -302, 0, 0, 68, 
-19, -29, -9, 24, -4, -19, -4, 165, -297, 0, 0, 68, 
-19, -29, -9, 24, -4, -19, 0, 165, -292, 0, 0, 68, 
-19, -29, -9, 24, -4, -19, 4, 170, -292, -4, -4, 58, 
-19, -29, -9, 24, -4, -19, 9, 175, -292, -9, -9, 48, 
-14, -29, -14, 21, 0, -21, 9, 175, -292, -9, -9, 48, 
-9, -29, -19, 19, 4, -24, 9, 175, -292, -9, -9, 48, 
-4, -24, -19, 14, 7, -21, 4, 180, -287, -4, -4, 48, 
0, -19, -19, 9, 9, -19, 0, 185, -283, 0, 0, 48, 
0, -14, -14, 7, 7, -14, 0, 185, -278, 4, 9, 53, 
0, -9, -9, 4, 4, -9, 0, 185, -273, 9, 19, 58, 
0, -4, -4, 2, 2, -4, 0, 185, -273, 9, 24, 58, 
0, 0, 0, 0, 0, 0, 0, 185, -273, 9, 29, 58, 
0, 0, 0, 0, 0, 0, 0, 190, -273, 9, 29, 53, 
0, 0, 0, 0, 0, 0, 0, 195, -273, 9, 29, 48, 
0, 0, 0, 0, 0, 0, 0, 195, -268, 9, 29, 39, 
0, 0, 0, 0, 0, 0, 0, 195, -263, 9, 29, 29, 
0, 4, 4, -2, -2, 4, 0, 195, -258, 19, 39, 39, 
0, 9, 9, -4, -4, 9, 0, 195, -253, 29, 48, 48, 
0, 9, 9, -4, -4, 9, 4, 195, -253, 29, 48, 53, 
0, 9, 9, -4, -4, 9, 9, 195, -253, 29, 48, 58, 
0, 9, 9, -4, -4, 9, 14, 200, -244, 34, 48, 58, 
0, 9, 9, -4, -4, 9, 19, 204, -234, 39, 48, 58, 
0, 19, 19, -9, -9, 19, 19, 214, -219, 53, 58, 58, 
0, 29, 29, -14, -14, 29, 19, 224, -204, 68, 68, 58, 
4, 34, 29, -19, -12, 31, 19, 224, -200, 68, 68, 63, 
9, 48, 39, -29, -14, 43, 19, 224, -195, 78, 78, 63, 
19, 63, 43, -41, -12, 53, 19, 229, -190, 87, 87, 63, 
19, 68, 48, -43, -14, 58, 14, 229, -185, 92, 97, 58, 
19, 73, 53, -46, -17, 63, 14, 234, -175, 97, 97, 58, 
19, 78, 58, -48, -19, 68, 4, 229, -170, 107, 97, 63, 
19, 78, 58, -48, -19, 68, -4, 229, -165, 107, 97, 58, 
29, 78, 48, -53, -9, 63, -19, 214, -165, 102, 92, 53, 
34, 78, 43, -56, -4, 61, -29, 219, -170, 102, 92, 53, 
39, 87, 48, -63, -4, 68, -29, 214, -170, 97, 92, 53, 
43, 92, 48, -68, -2, 70, -34, 219, -165, 102, 102, 53, 
43, 97, 53, -70, -4, 75, -34, 214, -161, 107, 102, 58, 
43, 102, 58, -73, -7, 80, -34, 219, -156, 122, 107, 68, 
43, 102, 58, -73, -7, 80, -34, 219, -156, 126, 117, 78, 
43, 102, 58, -73, -7, 80, -34, 214, -156, 126, 122, 73, 
48, 97, 48, -73, 0, 73, -34, 214, -151, 131, 126, 68, 
48, 97, 48, -73, 0, 73, -34, 219, -141, 131, 131, 68, 
53, 87, 34, -70, 9, 61, -29, 229, -136, 136, 131, 63, 
53, 78, 24, -65, 14, 51, -29, 229, -136, 136, 131, 53, 
53, 68, 14, -61, 19, 41, -19, 229, -141, 126, 117, 39, 
48, 53, 4, -51, 21, 29, -14, 234, -151, 122, 107, 19, 
34, 24, -9, -29, 21, 7, -9, 239, -161, 107, 92, 14, 
19, 9, -9, -14, 14, 0, -4, 234, -165, 107, 87, 0, 
-4, 0, 4, 2, -4, 2, 4, 234, -161, 107, 87, -4, 
-19, -14, 4, 17, -12, -4, 14, 229, -165, 97, 78, -4, 
-29, -29, 0, 29, -14, -14, 14, 224, -170, 87, 63, -9, 
-29, -39, -9, 34, -9, -24, 24, 224, -165, 82, 63, -9, 
-34, -48, -14, 41, -9, -31, 29, 224, -161, 82, 63, -9, 
-34, -34, 0, 34, -17, -17, 24, 224, -156, 97, 73, 9, 
-34, -19, 14, 26, -24, -2, 24, 219, -156, 112, 78, 29, 
-39, -34, 4, 36, -21, -14, 29, 219, -156, 97, 73, 9, 
-43, -48, -4, 46, -19, -26, 29, 219, -151, 87, 73, -4, 
-43, -53, -9, 48, -17, -31, 29, 224, -151, 87, 68, -9, 
-43, -58, -14, 51, -14, -36, 29, 229, -151, 82, 63, -14, 
-43, -58, -14, 51, -14, -36, 34, 229, -141, 87, 68, -14, 
-43, -53, -9, 48, -17, -31, 34, 229, -136, 97, 68, -9, 
-39, -53, -14, 46, -12, -34, 34, 224, -131, 97, 68, 4, 
-39, -53, -14, 46, -12, -34, 34, 219, -126, 92, 73, 9, 
-39, -58, -19, 48, -9, -39, 34, 219, -126, 97, 73, 9, 
-48, -78, -29, 63, -9, -53, 48, 219, -126, 97, 53, 0, 
-68, -107, -39, 87, -14, -73, 92, 258, -126, 68, 34, -24, 
-107, -126, -19, 117, -43, -73, 151, 283, -122, 48, 4, -48, 
-122, -156, -34, 139, -43, -95, 195, 336, -92, 48, -14, -68, 
-107, -136, -29, 122, -39, -82, 239, 419, 4, 112, 14, -63, 
-14, -97, -82, 56, 34, -90, 292, 649, 146, 214, 78, -43, 
151, 4, -146, -78, 148, -70, 292, 790, 253, 356, 180, 34, 
326, 195, -131, -261, 229, 31, 209, 790, 346, 527, 375, 195, 
531, 468, -63, -500, 297, 202, 63, 790, 502, 771, 610, 400, 
746, 868, 122, -807, 312, 495, -209, 619, 658, 1078, 917, 697, 
883, 1302, 419, -1093, 231, 861, -536, 297, 766, 1346, 1229, 1019, 
961, 1483, 522, -1222, 219, 1002, -727, 73, 732, 1371, 1317, 1137, 
697, 1117, 419, -907, 139, 768, -736, -302, 268, 858, 917, 858, 
229, 634, 405, -431, -87, 519, -658, -707, -439, 180, 419, 541, 
-43, 326, 370, -141, -207, 348, -531, -795, -673, -97, 190, 346, 
-68, 136, 204, -34, -136, 170, -346, -590, -663, -73, 122, 195, 
-73, 29, 102, 21, -87, 65, -214, -390, -541, -97, 53, 102, 
-63, 19, 82, 21, -73, 51, -190, -185, -400, -48, 48, 82, 
-34, 9, 43, 12, -39, 26, -136, 9, -263, 48, 58, 78, 
4, 19, 14, -12, -4, 17, -24, 136, -175, 117, 107, 78, 
24, 29, 4, -26, 9, 17, 4, 180, -102, 165, 146, 78, 
24, 43, 19, -34, 2, 31, 4, 234, -48, 190, 165, 97, 
9, 53, 43, -31, -17, 48, 9, 278, -43, 204, 170, 107, 
0, 53, 53, -26, -26, 53, 24, 283, -43, 204, 175, 107, 
4, 53, 48, -29, -21, 51, 29, 273, -34, 204, 175, 112, 
4, 43, 39, -24, -17, 41, 39, 287, -29, 214, 165, 107, 
9, 34, 24, -21, -7, 29, 48, 302, -29, 214, 156, 102, 
9, 29, 19, -19, -4, 24, 53, 317, -19, 219, 170, 97, 
14, 29, 14, -21, 0, 21, 53, 317, -19, 224, 185, 97, 
4, 34, 29, -19, -12, 31, 48, 317, -9, 229, 190, 102, 
-4, 39, 43, -17, -24, 41, 48, 312, -4, 234, 190, 112, 
0, 39, 39, -19, -19, 39, 48, 322, 0, 239, 195, 122, 
0, 43, 43, -21, -21, 43, 48, 326, 0, 244, 195, 126, 
4, 43, 39, -24, -17, 41, 48, 331, 0, 248, 200, 131, 
4, 43, 39, -24, -17, 41, 48, 336, 9, 253, 200, 131, 
0, 48, 48, -24, -24, 48, 48, 341, 14, 253, 204, 131, 
0, 53, 53, -26, -26, 53, 53, 341, 19, 263, 209, 136, 
0, 58, 58, -29, -29, 58, 53, 346, 24, 273, 219, 136, 
4, 73, 68, -39, -31, 70, 53, 356, 29, 283, 234, 141, 
9, 78, 68, -43, -29, 73, 53, 361, 34, 287, 239, 151, 
14, 78, 63, -46, -24, 70, 53, 370, 39, 292, 239, 151, 
19, 78, 58, -48, -19, 68, 48, 375, 43, 297, 239, 151, 
24, 87, 63, -56, -19, 75, 43, 385, 43, 302, 244, 151, 
29, 92, 63, -61, -17, 78, 43, 390, 48, 307, 253, 161, 
34, 97, 63, -65, -14, 80, 43, 400, 53, 322, 258, 175, 
43, 112, 68, -78, -12, 90, 43, 414, 68, 331, 268, 185, 
48, 122, 73, -85, -12, 97, 39, 414, 78, 341, 273, 190, 
39, 107, 68, -73, -14, 87, 43, 424, 78, 346, 283, 204, 
29, 102, 73, -65, -21, 87, 48, 429, 82, 351, 287, 204, 
39, 107, 68, -73, -14, 87, 48, 444, 102, 370, 297, 219, 
39, 117, 78, -78, -19, 97, 48, 453, 107, 395, 312, 239, 
39, 126, 87, -82, -24, 107, 48, 463, 112, 395, 312, 244, 
39, 141, 102, -90, -31, 122, 48, 473, 117, 395, 322, 248, 
43, 136, 92, -90, -24, 114, 48, 483, 126, 405, 326, 253, 
48, 141, 92, -95, -21, 117, 48, 497, 136, 414, 326, 258, 
63, 170, 107, -117, -21, 139, 43, 512, 151, 434, 356, 268, 
82, 204, 122, -143, -19, 163, 39, 522, 170, 458, 385, 278, 
87, 214, 126, -151, -19, 170, 34, 531, 180, 478, 385, 292, 
92, 234, 141, -163, -24, 187, 29, 541, 195, 488, 385, 307, 
102, 253, 151, -178, -24, 202, 29, 556, 204, 497, 400, 317, 
112, 268, 156, -190, -21, 212, 24, 566, 224, 517, 419, 331, 
117, 292, 175, -204, -29, 234, 14, 585, 229, 527, 434, 346, 
126, 302, 175, -214, -24, 239, 4, 590, 239, 541, 448, 351, 
141, 326, 185, -234, -21, 256, 0, 595, 244, 561, 473, 361, 
151, 346, 195, -248, -21, 270, -4, 600, 263, 575, 483, 361, 
161, 370, 209, -265, -24, 290, -9, 610, 278, 600, 502, 380, 
170, 390, 219, -280, -24, 305, -14, 610, 287, 610, 517, 400, 
180, 419, 239, -300, -29, 329, -24, 624, 297, 634, 541, 434, 
190, 434, 244, -312, -26, 339, -34, 624, 312, 653, 551, 453, 
200, 448, 248, -324, -24, 348, -34, 624, 326, 663, 575, 468, 
214, 463, 248, -339, -17, 356, -48, 639, 336, 683, 590, 492, 
219, 488, 268, -353, -24, 378, -48, 634, 336, 688, 600, 497, 
224, 497, 273, -361, -24, 385, -58, 639, 351, 712, 614, 517, 
239, 507, 268, -373, -14, 387, -63, 639, 356, 722, 624, 527, 
248, 517, 268, -383, -9, 392, -68, 639, 356, 732, 629, 536, 
253, 522, 268, -387, -7, 395, -73, 639, 356, 736, 639, 546, 
258, 527, 268, -392, -4, 397, -78, 639, 356, 732, 649, 551, 
253, 527, 273, -390, -9, 400, -82, 634, 356, 741, 663, 561, 
253, 527, 273, -390, -9, 400, -87, 629, 351, 741, 663, 566, 
253, 522, 268, -387, -7, 395, -87, 629, 351, 741, 653, 556, 
248, 507, 258, -378, -4, 383, -87, 619, 346, 741, 639, 546, 
239, 483, 244, -361, -2, 363, -82, 605, 331, 727, 624, 527, 
224, 453, 229, -339, -2, 341, -73, 595, 312, 702, 600, 512, 
204, 429, 224, -317, -9, 326, -63, 580, 302, 678, 585, 512, 
185, 395, 209, -290, -12, 302, -58, 570, 283, 653, 561, 492, 
170, 356, 185, -263, -7, 270, -53, 551, 248, 624, 527, 453, 
151, 312, 161, -231, -4, 236, -43, 536, 214, 585, 488, 419, 
131, 273, 141, -202, -4, 207, -29, 517, 180, 536, 453, 395, 
102, 224, 122, -163, -9, 173, -19, 488, 146, 512, 419, 366, 
82, 200, 117, -141, -17, 158, -9, 473, 117, 478, 385, 346, 
58, 161, 102, -109, -21, 131, -4, 453, 82, 453, 361, 326, 
34, 117, 82, -75, -24, 100, 4, 439, 53, 419, 331, 302, 
24, 92, 68, -58, -21, 80, 14, 434, 29, 395, 302, 268, 
4, 63, 58, -34, -26, 61, 14, 419, 4, 366, 283, 244, 
-4, 39, 43, -17, -24, 41, 24, 409, -14, 351, 263, 224, 
-19, 24, 43, -2, -31, 34, 29, 400, -29, 331, 248, 214, 
-24, 9, 34, 7, -29, 21, 34, 385, -39, 317, 234, 204, 
-34, -9, 24, 21, -29, 7, 34, 380, -63, 297, 214, 190, 
-43, -29, 14, 36, -29, -7, 34, 370, -78, 283, 200, 170, 
-48, -34, 14, 41, -31, -9, 39, 375, -68, 278, 190, 170, 
-43, -39, 4, 41, -24, -17, 39, 375, -68, 278, 185, 156, 
-48, -34, 14, 41, -31, -9, 39, 370, -78, 278, 195, 156, 
-53, -19, 34, 36, -43, 7, 39, 366, -82, 278, 200, 156, 
-63, -43, 19, 53, -41, -12, 39, 356, -82, 268, 180, 151, 
-73, -68, 4, 70, -39, -31, 43, 351, -87, 258, 156, 141, 
-73, -73, 0, 73, -36, -36, 43, 351, -87, 253, 151, 136, 
-73, -73, 0, 73, -36, -36, 43, 351, -87, 253, 146, 136, 
-68, -53, 14, 61, -41, -19, 43, 351, -92, 253, 151, 141, 
-63, -39, 24, 51, -43, -7, 43, 346, -97, 248, 156, 141, 
-63, -48, 14, 56, -39, -17, 43, 346, -97, 248, 151, 141, 
-63, -58, 4, 61, -34, -26, 43, 346, -97, 244, 151, 141, 
-68, -63, 4, 65, -36, -29, 43, 351, -97, 244, 146, 136, 
-73, -63, 9, 68, -41, -26, 43, 351, -97, 244, 146, 131, 
-73, -58, 14, 65, -43, -21, 43, 351, -97, 248, 151, 131, 
-68, -48, 19, 58, -43, -14, 43, 351, -97, 253, 161, 136, 
