I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -29, -19, 19, 4, -24, -9, -9, -48, -39, -39, -19, 
-9, -29, -19, 19, 4, -24, -9, -9, -48, -34, -34, -19, 
-9, -29, -19, 19, 4, -24, -9, -9, -48, -29, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -9, -48, -29, -29, -19, 
-9, -14, -4, 12, -2, -9, -9, -4, -48, -29, -29, -19, 
-9, -14, -4, 12, -2, -9, -9, -4, -48, -29, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -4, -48, -24, -24, -14, 
-4, -14, -9, 9, 2, -12, -9, -9, -48, -24, -24, -14, 
-4, -4, 0, 4, -2, -2, -4, -4, -39, -14, -19, -14, 
0, 9, 9, -4, -4, 9, 4, -4, -34, -9, -14, -9, 
0, 19, 19, -9, -9, 19, 4, 0, -24, -4, -9, -9, 
4, 24, 19, -14, -7, 21, 4, 0, -19, -4, -9, -4, 
4, 34, 29, -19, -12, 31, 0, 0, -14, 0, -4, -4, 
14, 48, 34, -31, -9, 41, 0, 0, -9, 4, 4, 9, 
19, 68, 48, -43, -14, 58, 0, 0, -4, 9, 14, 14, 
29, 78, 48, -53, -9, 63, -4, 0, 0, 14, 19, 14, 
39, 97, 58, -68, -9, 78, -9, 0, 0, 19, 29, 24, 
48, 97, 48, -73, 0, 73, -34, -9, -9, 19, 24, 24, 
53, 97, 43, -75, 4, 70, -48, -9, -9, 19, 19, 19, 
48, 87, 39, -68, 4, 63, -53, -9, -19, 9, 14, 19, 
43, 63, 19, -53, 12, 41, -53, -9, -29, 4, 9, 19, 
43, 58, 14, -51, 14, 36, -53, -9, -29, 4, 9, 19, 
48, 58, 9, -53, 19, 34, -48, -9, -29, 4, 9, 19, 
48, 58, 9, -53, 19, 34, -48, -9, -29, 0, 9, 19, 
48, 58, 9, -53, 19, 34, -43, -9, -29, -4, 9, 19, 
48, 58, 9, -53, 19, 34, -43, -9, -29, -4, 9, 19, 
29, 39, 9, -34, 9, 24, -34, -9, -29, -4, 9, 19, 
