I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
34,87,53,-61,-9,70,-24,34,102,92,73,53,-48,-24,24
39,97,58,-68,-9,78,-19,39,107,97,78,58,-48,-19,29
53,112,58,-82,-2,85,-14,48,112,107,87,63,-48,-14,34
73,126,53,-100,9,90,-9,58,122,117,97,68,-48,-19,39
82,126,43,-104,19,85,-9,68,126,126,97,63,-43,-29,24
87,126,39,-107,24,82,-9,68,126,126,97,63,-43,-34,24
92,131,39,-112,26,85,-9,73,126,131,97,68,-48,-34,24
92,146,53,-119,19,100,-9,73,131,136,107,73,-48,-39,29
92,146,53,-119,19,100,-14,78,136,136,97,73,-58,-43,29
92,151,58,-122,17,104,-14,78,136,136,97,78,-58,-48,29
102,156,53,-129,24,104,-14,78,146,141,102,78,-58,-48,29
102,161,58,-131,21,109,-24,82,146,141,107,87,-58,-48,34
102,161,58,-131,21,109,-24,82,151,146,122,92,-48,-48,43
102,161,58,-131,21,109,-34,82,151,146,122,92,-43,-53,39
107,161,53,-134,26,107,-53,73,151,141,126,97,-43,-58,29
112,165,53,-139,29,109,-68,68,151,141,126,97,-29,-73,24
117,170,53,-143,31,112,-92,63,151,146,126,97,-48,-82,9
122,175,53,-148,34,114,-97,63,151,146,126,97,-48,-82,4
126,180,53,-153,36,117,-107,58,151,146,126,102,-43,-78,0
126,185,58,-156,34,122,-112,48,141,146,122,102,-43,-78,-4
136,195,58,-165,39,126,-126,29,126,146,131,107,-34,-87,-14
136,190,53,-163,41,122,-131,19,122,141,131,107,-34,-87,-24
136,190,53,-163,41,122,-136,14,107,136,122,107,-34,-87,-34
131,190,58,-161,36,124,-141,4,102,131,122,107,-34,-87,-39
112,180,68,-146,21,124,-141,4,97,117,122,107,-34,-87,-53
112,180,68,-146,21,124,-141,4,92,117,122,107,-34,-87,-58
112,175,63,-143,24,119,-141,0,78,107,117,102,-34,-87,-63
107,170,63,-139,21,117,-141,-9,68,102,107,97,-34,-87,-63
102,165,63,-134,19,114,-126,-24,73,97,92,92,-34,-68,-53
102,161,58,-131,21,109,-126,-24,73,92,87,87,-34,-68,-53
102,146,43,-124,29,95,-117,-24,68,87,82,82,-34,-73,-53
102,141,39,-122,31,90,-117,-24,63,82,78,82,-29,-73,-53
112,126,14,-119,48,70,-117,-19,63,87,78,78,-19,-82,-58
112,107,-4,-109,58,51,-117,-19,63,87,78,73,-19,-82,-58
107,102,-4,-104,56,48,-107,-14,63,87,78,73,-19,-82,-58
102,102,0,-102,51,51,-102,-14,63,87,78,73,-29,-82,-58
87,107,19,-97,34,63,-107,-14,68,82,78,73,-24,-68,-58
73,117,43,-95,14,80,-102,-14,78,82,82,73,-29,-58,-48
63,122,58,-92,2,90,-97,-9,82,87,82,78,-34,-43,-34
48,122,73,-85,-12,97,-92,-9,82,87,82,78,-39,-34,-29
39,122,82,-80,-21,102,-87,0,73,87,92,78,-48,-34,-24
39,112,73,-75,-17,92,-82,0,73,87,92,68,-43,-24,-24
34,97,63,-65,-14,80,-78,0,63,82,78,58,-43,-24,-24
29,78,48,-53,-9,63,-73,0,53,78,63,48,-34,-29,-24
24,53,29,-39,-2,41,-63,-9,43,63,43,29,-24,-43,-34
19,34,14,-26,2,24,-63,-19,39,53,34,14,-14,-48,-39
14,24,9,-19,2,17,-63,-19,39,53,29,9,-9,-48,-43
14,19,4,-17,4,12,-63,-19,34,48,29,9,-4,-48,-48
9,19,9,-14,0,14,-63,-19,34,43,29,4,4,-48,-48
9,19,9,-14,0,14,-63,-19,34,43,29,4,4,-43,-48
4,19,14,-12,-4,17,-63,-19,34,43,29,4,4,-43,-43
0,19,19,-9,-9,19,-58,-19,29,43,24,0,4,-43,-43
0,14,14,-7,-7,14,-58,-24,39,48,24,9,4,-34,-43
0,14,14,-7,-7,14,-58,-24,39,48,19,9,4,-29,-43
0,14,14,-7,-7,14,-58,-19,39,48,19,4,4,-29,-43
-4,9,14,-2,-9,12,-53,-19,39,48,19,4,4,-29,-39
-4,9,14,-2,-9,12,-53,-19,39,48,29,4,-4,-29,-39
-4,14,19,-4,-12,17,-53,-19,43,48,29,9,-4,-29,-39
-4,14,19,-4,-12,17,-53,-19,43,48,29,9,-4,-29,-34
-4,9,14,-2,-9,12,-48,-19,43,53,29,9,-4,-24,-34
-9,19,29,-4,-19,24,-39,-9,43,53,29,19,4,-34,-34
-9,19,29,-4,-19,24,-39,-9,43,53,34,19,0,-34,-34
-4,19,24,-7,-14,21,-39,-9,43,53,34,14,0,-34,-34
-4,19,24,-7,-14,21,-39,-4,43,53,34,14,4,-34,-34
-9,9,19,0,-14,14,-43,-14,43,53,34,9,-4,-24,-29
-9,9,19,0,-14,14,-43,-14,43,53,34,9,-4,-24,-29
-9,9,19,0,-14,14,-43,-14,43,53,34,9,-4,-24,-29
-9,9,19,0,-14,14,-43,-14,48,53,34,9,-9,-24,-29
-9,0,9,4,-9,4,-43,-4,39,53,34,4,-9,-34,-29
-9,-4,4,7,-7,0,-43,-4,39,53,34,4,-9,-34,-29
-9,-4,4,7,-7,0,-39,-4,39,53,34,4,-9,-29,-29
-9,-4,4,7,-7,0,-39,-4,39,58,34,4,-9,-29,-29
-4,4,9,0,-7,7,-48,-14,39,58,24,-4,-9,-29,-29
-4,4,9,0,-7,7,-48,-9,43,58,24,-4,-9,-29,-29
0,4,4,-2,-2,4,-48,-9,43,58,24,-4,-9,-29,-29
0,4,4,-2,-2,4,-53,-9,43,58,24,0,-9,-34,-34
9,14,4,-12,2,9,-53,0,43,58,34,9,0,-34,-34
19,19,0,-19,9,9,-53,19,68,78,39,9,0,-34,-34
29,19,-9,-24,19,4,-48,78,122,117,63,24,-4,-39,-24
39,24,-14,-31,26,4,-34,156,204,175,107,48,-29,-43,-14
63,34,-29,-48,46,2,-29,248,278,234,131,63,-39,-53,4
78,29,-48,-53,63,-9,-9,326,341,283,161,73,-34,-68,29
102,53,-48,-78,75,2,34,395,429,366,219,87,-53,-68,78
141,97,-43,-119,92,26,78,483,570,497,307,122,-82,-73,146
185,146,-39,-165,112,53,97,575,717,653,448,204,-126,-102,180
253,200,-53,-226,153,73,78,624,810,824,614,317,-165,-146,156
351,273,-78,-312,214,97,4,624,878,990,795,453,-209,-200,112
429,356,-73,-392,251,141,-53,605,951,1156,985,605,-258,-234,63
497,439,-58,-468,278,190,-102,600,980,1288,1146,741,-302,-268,14
595,536,-58,-566,326,239,-180,619,1005,1424,1302,878,-351,-312,-53
702,688,-14,-695,358,336,-307,600,1063,1595,1498,1034,-400,-361,-122
805,883,78,-844,363,480,-458,488,1098,1756,1698,1220,-453,-390,-175
893,1063,170,-978,361,617,-614,297,1029,1800,1815,1361,-522,-400,-253
941,1171,229,-1056,356,700,-761,43,795,1649,1771,1410,-551,-419,-375
995,1210,214,-1102,390,712,-883,-263,405,1307,1581,1351,-551,-448,-517
1083,1166,82,-1124,500,624,-1068,-580,-63,858,1288,1239,-502,-522,-751
1254,1049,-204,-1151,729,422,-1337,-868,-566,414,1000,1141,-429,-692,-1102
1478,932,-546,-1205,1012,192,-1634,-1141,-1044,4,746,1063,-341,-912,-1512
1664,834,-829,-1249,1246,2,-1888,-1503,-1576,-434,483,990,-248,-1083,-1859
1790,722,-1068,-1256,1429,-173,-2103,-1942,-2127,-922,175,893,-136,-1224,-2152
1825,575,-1249,-1200,1537,-336,-2254,-2376,-2635,-1415,-175,717,-9,-1332,-2371
1678,473,-1205,-1076,1442,-366,-2303,-2810,-3020,-1849,-531,527,102,-1327,-2430
1371,502,-868,-936,1119,-183,-2303,-3308,-3259,-2137,-761,414,175,-1185,-2342
1015,595,-419,-805,717,87,-2235,-3713,-3308,-2269,-873,375,214,-990,-2171
775,619,-156,-697,466,231,-2093,-3713,-3176,-2239,-927,326,224,-854,-1995
624,570,-53,-597,339,258,-1888,-3396,-2908,-2108,-927,278,209,-741,-1786
439,502,63,-470,187,283,-1629,-2962,-2566,-1869,-824,287,175,-610,-1546
258,366,107,-312,75,236,-1346,-2503,-2171,-1595,-697,287,195,-492,-1312
122,209,87,-165,17,148,-1088,-2069,-1790,-1322,-570,268,234,-414,-1112
4,161,156,-82,-75,158,-878,-1703,-1439,-1044,-444,283,234,-312,-902
-102,170,273,-34,-187,222,-673,-1390,-1102,-790,-312,273,170,-204,-683
-146,161,307,-7,-226,234,-488,-1088,-829,-585,-234,214,112,-136,-507
-190,97,287,46,-239,192,-341,-854,-629,-473,-229,97,97,-78,-375
-239,53,292,92,-265,173,-209,-653,-473,-380,-224,0,82,-14,-248
-244,43,287,100,-265,165,-126,-502,-346,-287,-204,-48,63,29,-141
-224,68,292,78,-258,180,-73,-375,-244,-219,-165,-63,29,53,-78
-195,58,253,68,-224,156,-29,-273,-175,-151,-136,-53,14,58,-39
-175,19,195,78,-185,107,14,-190,-122,-112,-122,-63,24,58,0
-151,-19,131,85,-141,56,43,-126,-63,-78,-102,-58,14,58,9
-131,-29,102,80,-117,36,58,-87,-24,-39,-73,-53,0,53,14
-117,-34,82,75,-100,24,58,-73,-4,-24,-53,-39,0,43,19
-112,-43,68,78,-90,12,58,-73,-4,-14,-34,-29,9,39,24
-112,-24,87,68,-100,31,53,-73,0,-19,-34,-29,9,24,14
-107,-19,87,63,-97,34,53,-63,-9,-29,-34,-24,0,24,19
-117,-9,107,63,-112,48,53,-58,-14,-29,-48,-39,-9,29,24
-117,-9,107,63,-112,48,58,-53,0,-19,-48,-39,0,39,29
-107,-14,92,61,-100,39,68,-34,19,0,-48,-34,9,39,34
-107,-24,82,65,-95,29,73,-14,29,4,-43,-43,0,39,39
-107,-34,73,70,-90,19,82,-9,43,9,-39,-43,0,39,43
-107,-34,73,70,-90,19,82,0,43,9,-29,-39,0,48,43
-107,-34,73,70,-90,19,82,0,43,14,-29,-39,0,48,43
-107,-34,73,70,-90,19,87,4,43,14,-29,-43,0,48,53
-107,-34,73,70,-90,19,87,4,48,9,-29,-43,0,48,53
-107,-34,73,70,-90,19,87,9,39,0,-39,-53,0,48,53
-107,-34,73,70,-90,19,87,14,48,0,-39,-58,0,48,58
-112,-34,78,73,-95,21,87,19,48,0,-39,-58,0,53,58
-112,-39,73,75,-92,17,97,24,53,4,-39,-58,0,53,63
-112,-48,63,80,-87,7,97,24,58,9,-39,-58,0,53,63
-112,-53,58,82,-85,2,97,24,58,9,-39,-58,0,53,63
-107,-53,53,80,-80,0,97,29,58,9,-39,-58,0,53,68
-107,-48,58,78,-82,4,102,29,58,9,-39,-58,0,53,68
-107,-48,58,78,-82,4,102,39,68,19,-29,-58,0,48,78
-107,-48,58,78,-82,4,102,43,68,19,-29,-58,0,48,78
-107,-48,58,78,-82,4,102,43,73,19,-29,-58,0,53,82
-107,-48,58,78,-82,4,102,48,73,19,-29,-58,0,53,82
-107,-39,68,73,-87,14,107,48,73,24,-29,-58,0,43,78
-107,-43,63,75,-85,9,107,48,73,24,-29,-58,0,43,78
-107,-43,63,75,-85,9,107,53,73,24,-29,-58,0,43,78
-107,-39,68,73,-87,14,107,53,78,24,-29,-58,0,43,78
-97,-48,48,73,-73,0,107,58,78,24,-29,-48,0,43,78
-97,-48,48,73,-73,0,112,58,78,24,-24,-53,0,43,82
-97,-53,43,75,-70,-4,112,58,82,24,-24,-53,0,43,82
-97,-53,43,75,-70,-4,117,63,82,24,-24,-53,0,48,87
-107,-53,53,80,-80,0,117,63,82,24,-24,-53,0,58,87
-107,-53,53,80,-80,0,117,63,82,24,-24,-53,0,58,87
-107,-53,53,80,-80,0,117,68,87,24,-24,-53,0,58,87
-107,-53,53,80,-80,0,117,68,87,24,-24,-53,0,58,92
-107,-43,63,75,-85,9,117,68,87,24,-24,-63,0,58,92
-107,-43,63,75,-85,9,122,73,92,29,-24,-63,-4,58,92
-107,-43,63,75,-85,9,122,73,92,29,-24,-63,-4,58,92
-107,-39,68,73,-87,14,122,78,92,29,-24,-63,-4,58,92
-97,-39,58,68,-78,9,122,78,92,29,-24,-53,4,53,97
-102,-39,63,70,-82,12,126,82,97,29,-24,-58,4,53,107
-102,-43,58,73,-80,7,126,87,97,29,-24,-58,4,53,107
-102,-43,58,73,-80,7,126,87,97,29,-24,-58,4,53,107
-102,-53,48,78,-75,-2,131,92,102,29,-24,-68,-4,63,107
-102,-53,48,78,-75,-2,131,92,107,29,-24,-68,-4,63,107
-107,-53,53,80,-80,0,136,97,107,29,-24,-68,-4,63,107
-107,-53,53,80,-80,0,136,97,107,29,-24,-68,-4,63,107
-107,-53,53,80,-80,0,146,107,107,34,-34,-68,-4,53,112
-107,-53,53,80,-80,0,151,107,107,34,-34,-68,-4,53,117
-107,-53,53,80,-80,0,151,107,112,34,-34,-73,-4,58,117
-107,-53,53,80,-80,0,151,107,112,34,-34,-73,-4,58,117
-117,-53,63,85,-90,4,146,117,122,34,-24,-63,-4,63,122
-122,-53,68,87,-95,7,151,117,126,34,-24,-63,-4,63,122
-122,-58,63,90,-92,2,151,117,126,34,-29,-63,-4,63,122
-122,-58,63,90,-92,2,151,122,126,34,-29,-68,-4,63,122
-122,-58,63,90,-92,2,165,131,122,43,-29,-68,4,73,122
-126,-58,68,92,-97,4,165,131,122,43,-29,-68,4,73,122
-126,-58,68,92,-97,4,170,136,122,43,-29,-68,4,78,122
-126,-58,68,92,-97,4,170,141,126,43,-29,-73,4,78,126
-126,-58,68,92,-97,4,170,141,126,34,-39,-73,-4,87,136
-126,-63,63,95,-95,0,170,141,126,34,-39,-73,-4,87,136
-126,-63,63,95,-95,0,170,141,126,34,-39,-73,-4,87,136
-126,-63,63,95,-95,0,170,151,131,34,-43,-73,-4,87,141
-126,-73,53,100,-90,-9,175,156,131,34,-43,-82,-4,82,141
-131,-73,58,102,-95,-7,180,161,131,34,-43,-87,-4,82,141
-131,-73,58,102,-95,-7,185,161,136,34,-43,-87,-4,82,141
-136,-78,58,107,-97,-9,185,165,136,29,-43,-92,-4,82,146
-136,-73,63,104,-100,-4,190,170,146,29,-48,-82,-4,82,146
-136,-73,63,104,-100,-4,190,175,146,29,-48,-87,-4,87,151
-141,-73,68,107,-104,-2,190,180,146,29,-53,-87,-4,87,151
-141,-73,68,107,-104,-2,200,180,146,29,-53,-97,-4,92,151
-141,-87,53,114,-97,-17,204,185,136,39,-43,-97,4,82,141
-141,-87,53,114,-97,-17,209,190,136,34,-53,-97,4,82,146
-146,-92,53,119,-100,-19,214,195,136,29,-53,-102,4,82,146
-156,-102,53,129,-104,-24,219,200,136,29,-58,-107,4,82,146
-146,-92,53,119,-100,-19,219,204,126,19,-58,-112,-4,73,151
-146,-92,53,119,-100,-19,219,204,131,14,-63,-117,-4,73,151
-146,-97,48,122,-97,-24,224,209,131,14,-68,-117,-4,78,156
-151,-97,53,124,-102,-21,229,214,131,9,-73,-122,-4,78,156
-161,-92,68,126,-114,-12,234,209,141,9,-87,-126,-4,87,165
-165,-97,68,131,-117,-14,244,214,136,9,-92,-131,-4,92,170
-170,-102,68,136,-119,-17,248,219,136,0,-92,-131,-4,92,170
-175,-107,68,141,-122,-19,253,224,136,-4,-97,-136,-4,92,175
-175,-117,58,146,-117,-29,258,239,126,-4,-102,-151,-4,102,175
-175,-117,58,146,-117,-29,263,244,126,-9,-107,-156,-4,107,175
-175,-126,48,151,-112,-39,268,248,126,-9,-112,-161,-4,107,175
-185,-131,53,158,-119,-39,273,253,126,-14,-117,-165,-4,107,185
-180,-136,43,158,-112,-46,283,258,126,-24,-112,-170,-4,102,185
-185,-141,43,163,-114,-48,287,263,126,-29,-122,-180,-4,107,185
-185,-146,39,165,-112,-53,292,268,126,-34,-126,-190,-4,112,185
-190,-151,39,170,-114,-56,302,273,117,-39,-136,-200,-4,117,195
-204,-165,39,185,-122,-63,307,278,126,-39,-141,-190,9,122,209
-214,-175,39,195,-126,-68,317,287,126,-43,-156,-200,14,122,214
-214,-180,34,197,-124,-73,326,287,126,-53,-161,-204,14,122,214
-219,-185,34,202,-126,-75,331,292,117,-58,-170,-219,14,126,214
-214,-180,34,197,-124,-73,336,297,117,-53,-170,-219,19,131,214
-219,-185,34,202,-126,-75,351,302,117,-58,-170,-224,19,136,219
-229,-200,29,214,-129,-85,361,307,112,-73,-185,-234,19,141,224
-234,-200,34,217,-134,-82,366,312,102,-78,-195,-244,24,146,234
-244,-214,29,229,-136,-92,375,317,107,-97,-209,-263,24,146,239
-248,-224,24,236,-136,-100,380,322,102,-102,-224,-273,24,151,239
-253,-234,19,244,-136,-107,395,322,97,-112,-239,-283,29,156,244
-268,-239,29,253,-148,-104,400,326,92,-122,-258,-292,34,161,248
-273,-239,34,256,-153,-102,400,317,82,-122,-263,-312,24,175,253
-283,-248,34,265,-158,-107,409,322,78,-131,-268,-322,24,180,258
-292,-253,39,273,-165,-107,414,322,78,-141,-273,-331,24,185,263
-297,-258,39,278,-168,-109,419,322,73,-151,-283,-351,29,190,263
-307,-258,48,283,-178,-104,429,322,73,-161,-297,-356,34,204,278
-317,-268,48,292,-183,-109,439,326,63,-170,-312,-370,39,209,287
-326,-278,48,302,-187,-114,444,326,58,-180,-326,-375,43,219,287
-331,-283,48,307,-190,-117,453,326,53,-190,-336,-385,43,224,292
-346,-302,43,324,-195,-129,468,336,43,-200,-346,-400,43,229,297
-356,-312,43,334,-200,-134,473,336,43,-209,-356,-414,43,234,302
-361,-317,43,339,-202,-136,478,336,39,-219,-366,-419,48,239,307
-370,-322,48,346,-209,-136,483,336,34,-224,-375,-434,53,244,307
-370,-326,43,348,-207,-141,488,336,39,-234,-390,-434,53,244,312
-375,-331,43,353,-209,-143,492,336,29,-244,-400,-444,53,244,317
-390,-336,53,363,-222,-141,492,326,24,-253,-409,-453,58,248,317
-395,-341,53,368,-224,-143,492,326,19,-263,-419,-463,58,253,317
-400,-356,43,378,-222,-156,502,331,24,-273,-429,-473,78,258,326
-405,-356,48,380,-226,-153,502,326,19,-273,-439,-473,78,263,331
-409,-361,48,385,-229,-156,502,322,19,-273,-444,-483,78,263,331
-414,-361,53,387,-234,-153,492,312,14,-278,-448,-488,82,263,331
-419,-370,48,395,-234,-161,488,292,9,-287,-453,-492,82,273,331
-419,-370,48,395,-234,-161,483,283,0,-292,-458,-497,87,273,326
-419,-370,48,395,-234,-161,473,273,-4,-297,-463,-502,92,273,322
-419,-370,48,395,-234,-161,463,263,-9,-297,-463,-502,92,273,312
-429,-351,78,390,-253,-136,453,253,-19,-297,-463,-512,82,273,307
-424,-346,78,385,-251,-134,444,244,-24,-297,-463,-512,82,263,297
-419,-341,78,380,-248,-131,424,234,-29,-297,-463,-507,82,263,287
-409,-336,73,373,-241,-131,409,224,-29,-292,-453,-497,82,258,278
-390,-322,68,356,-229,-126,385,214,-29,-292,-448,-502,82,244,258
-375,-322,53,348,-214,-134,375,209,-29,-283,-434,-488,82,244,248
-361,-307,53,334,-207,-126,351,200,-24,-268,-414,-473,82,234,239
-346,-297,48,322,-197,-124,331,200,-14,-253,-400,-453,73,219,229
-331,-287,43,309,-187,-122,317,195,-9,-239,-385,-429,73,209,219
-317,-273,43,295,-180,-114,302,180,-4,-224,-361,-419,73,200,204
-292,-258,34,275,-163,-112,278,180,0,-204,-341,-395,68,180,190
-273,-239,34,256,-153,-102,263,170,4,-190,-322,-375,68,165,175
-244,-224,19,234,-131,-102,234,156,9,-170,-312,-366,63,146,151
-219,-209,9,214,-114,-100,209,151,9,-151,-283,-336,58,131,141
-200,-195,4,197,-102,-95,190,141,19,-136,-268,-312,53,126,126
-180,-180,0,180,-90,-90,165,136,24,-117,-239,-287,48,112,117
-170,-165,4,168,-87,-80,151,131,24,-102,-209,-268,53,102,112
-151,-146,4,148,-78,-70,136,126,29,-82,-185,-244,48,82,107
-131,-131,0,131,-65,-65,126,122,34,-68,-161,-219,43,73,87
-112,-117,-4,114,-53,-61,117,112,39,-53,-141,-200,34,63,78
-92,-102,-9,97,-41,-56,92,117,53,-39,-122,-170,29,63,68
-73,-87,-14,80,-29,-51,78,112,58,-19,-102,-141,24,53,58
-63,-78,-14,70,-24,-46,68,107,63,-4,-82,-126,19,43,48
-48,-68,-19,58,-14,-43,53,102,68,14,-63,-107,14,34,39
-43,-63,-19,53,-12,-41,43,87,63,24,-43,-87,9,29,24
-29,-48,-19,39,-4,-34,34,87,68,29,-29,-68,4,19,19
-19,-39,-19,29,0,-29,19,82,73,39,-14,-58,4,14,14
-9,-34,-24,21,7,-29,9,73,73,48,-4,-43,4,9,9
9,-24,-34,7,21,-29,0,68,73,53,4,-34,4,4,4
9,-14,-24,2,17,-19,-4,63,73,58,14,-24,4,0,0
19,-9,-29,-4,24,-19,-9,58,73,63,24,-19,0,-4,-4
24,-4,-29,-9,26,-17,-14,53,78,73,34,-9,0,-4,-4
19,9,-9,-14,14,0,-19,48,68,63,34,4,-4,-9,4
24,14,-9,-19,17,2,-24,43,68,68,34,9,-4,-9,-4
24,19,-4,-21,14,7,-29,39,68,68,39,14,-9,-14,-4
24,24,0,-24,12,12,-34,34,68,68,43,14,-9,-14,-4
24,24,0,-24,12,12,-34,29,78,73,53,19,-9,-14,-4
29,24,-4,-26,17,9,-34,29,78,73,53,24,-9,-14,-9
29,24,-4,-26,17,9,-34,24,73,78,53,29,-9,-19,-9
29,34,4,-31,12,19,-39,24,73,78,58,29,-14,-19,-9
39,43,4,-41,17,24,-39,24,73,78,53,39,-24,-29,-19
39,39,0,-39,19,19,-39,24,73,78,53,43,-24,-29,-19
39,39,0,-39,19,19,-39,24,73,78,58,43,-24,-29,-19
39,43,4,-41,17,24,-39,24,73,78,63,43,-24,-29,-19
43,43,0,-43,21,21,-29,24,73,87,73,43,-14,-29,-9
43,43,0,-43,21,21,-34,24,73,87,73,48,-14,-34,-14
43,39,-4,-41,24,17,-34,19,73,87,73,48,-14,-34,-14
43,34,-9,-39,26,12,-34,19,73,87,73,48,-9,-34,-14
43,34,-9,-39,26,12,-34,19,73,82,73,48,0,-24,-14
43,34,-9,-39,26,12,-34,19,73,82,73,48,0,-24,-14
43,39,-4,-41,24,17,-34,19,73,82,73,48,0,-24,-14
43,39,-4,-41,24,17,-34,19,73,82,73,48,-4,-24,-14
34,34,0,-34,17,17,-34,24,73,82,73,39,-14,-24,-24
34,34,0,-34,17,17,-34,24,73,82,73,39,-14,-24,-24
34,34,0,-34,17,17,-34,24,73,82,73,43,-14,-24,-24
34,34,0,-34,17,17,-34,24,73,82,73,43,-14,-24,-24
34,34,0,-34,17,17,-34,14,73,92,73,43,-14,-24,-24
34,34,0,-34,17,17,-34,14,73,92,73,43,-14,-24,-24
34,34,0,-34,17,17,-34,14,73,92,73,43,-14,-24,-24
34,39,4,-36,14,21,-34,14,73,92,73,43,-14,-24,-24
39,39,0,-39,19,19,-34,24,73,82,68,43,-14,-24,-14
39,34,-4,-36,21,14,-34,24,73,82,68,43,-14,-24,-14
39,34,-4,-36,21,14,-29,24,73,82,68,43,-14,-24,-14
39,34,-4,-36,21,14,-29,24,73,82,68,43,-14,-24,-14
39,29,-9,-34,24,9,-29,29,73,73,63,43,-14,-24,-4
39,24,-14,-31,26,4,-29,29,73,73,63,39,-14,-24,-4
39,24,-14,-31,26,4,-29,24,73,73,63,39,-9,-29,-4
39,24,-14,-31,26,4,-34,24,73,73,63,43,-9,-29,-4
39,29,-9,-34,24,9,-34,24,73,82,73,43,-9,-29,-4
39,29,-9,-34,24,9,-34,24,73,87,73,43,-14,-29,-9
39,29,-9,-34,24,9,-34,24,78,87,73,43,-19,-29,-14
39,29,-9,-34,24,9,-29,29,78,82,73,43,-19,-29,-19
29,19,-9,-24,19,4,-29,19,68,92,73,43,-4,-19,-19
29,24,-4,-26,17,9,-29,24,68,92,73,43,-4,-19,-19
29,24,-4,-26,17,9,-29,24,68,92,73,43,-4,-19,-14
29,24,-4,-26,17,9,-29,24,68,92,73,43,-4,-19,-14
39,34,-4,-36,21,14,-29,24,78,82,73,43,-4,-29,-14
39,34,-4,-36,21,14,-29,24,78,82,73,39,-4,-24,-14
39,34,-4,-36,21,14,-29,24,78,82,73,39,-9,-24,-14
39,34,-4,-36,21,14,-29,24,78,82,73,39,-9,-24,-14
29,34,4,-31,12,19,-29,29,78,82,63,48,-19,-14,-14
29,34,4,-31,12,19,-29,29,78,82,63,48,-19,-14,-14
29,34,4,-31,12,19,-29,29,78,82,63,48,-19,-9,-14
29,34,4,-31,12,19,-24,29,78,82,63,53,-19,-9,-14
29,39,9,-34,9,24,-24,24,78,82,63,43,-4,-14,-9
29,29,0,-29,14,14,-24,24,78,82,63,39,-4,-14,-9
24,24,0,-24,12,12,-24,24,78,82,63,39,-4,-14,-9
24,24,0,-24,12,12,-24,24,78,82,63,39,-4,-14,-9
24,14,-9,-19,17,2,-24,24,78,82,73,39,-14,-24,-9
24,14,-9,-19,17,2,-24,24,78,82,73,39,-14,-24,-14
24,14,-9,-19,17,2,-24,24,78,82,73,39,-14,-24,-19
24,14,-9,-19,17,2,-24,24,78,82,68,34,-14,-19,-19
24,14,-9,-19,17,2,-24,34,68,82,68,43,-14,-29,-19
24,14,-9,-19,17,2,-24,34,68,82,63,43,-14,-29,-19
24,14,-9,-19,17,2,-19,34,68,78,63,43,-14,-29,-19
24,14,-9,-19,17,2,-19,39,68,78,63,43,-14,-24,-19
24,14,-9,-19,17,2,-19,39,68,78,63,39,-14,-34,-9
24,14,-9,-19,17,2,-19,34,68,78,63,39,-14,-34,-14
