I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
0,-29,-29,14,14,-29,34,43,97,82,53,34,-29,-9,24
0,-29,-29,14,14,-29,29,39,97,87,58,39,-29,-9,19
-4,-39,-34,21,14,-36,24,34,87,78,48,34,-19,-19,14
-9,-39,-29,24,9,-34,19,29,87,78,48,29,-19,-19,9
-14,-39,-24,26,4,-31,14,24,87,78,48,24,-19,-19,4
-19,-39,-19,29,0,-29,9,19,87,78,48,19,-19,-19,0
-9,-43,-34,26,12,-39,-4,19,87,78,58,29,-9,-24,-4
-9,-48,-39,29,14,-43,-9,19,87,78,58,29,-9,-29,-9
-9,-53,-43,31,17,-48,-14,19,87,78,58,29,-9,-34,-14
-9,-58,-48,34,19,-53,-19,19,87,78,58,29,-9,-39,-19
0,-43,-43,21,21,-43,-24,19,92,82,68,43,-9,-34,-9
0,-39,-39,19,19,-39,-29,19,97,87,68,48,-9,-29,-9
0,-34,-34,17,17,-34,-34,19,102,92,68,53,-9,-24,-9
0,-29,-29,14,14,-29,-39,19,107,97,68,58,-9,-19,-9
14,-19,-34,2,24,-26,-29,34,112,102,82,63,-19,-24,-4
19,-9,-29,-4,24,-19,-29,39,117,107,87,68,-19,-29,0
24,0,-24,-12,24,-12,-29,43,122,112,92,73,-19,-34,4
29,9,-19,-19,24,-4,-29,48,126,117,97,78,-19,-39,9
39,24,-14,-31,26,4,-39,48,126,126,107,68,-19,-24,19
39,29,-9,-34,24,9,-39,48,126,126,107,68,-19,-19,19
39,34,-4,-36,21,14,-39,48,126,126,107,68,-19,-14,19
39,39,0,-39,19,19,-39,48,126,126,107,68,-19,-9,19
39,29,-9,-34,24,9,-39,48,126,117,102,68,-19,-9,19
39,29,-9,-34,24,9,-39,48,126,117,97,68,-19,-9,19
39,29,-9,-34,24,9,-39,48,126,117,92,68,-19,-9,19
39,29,-9,-34,24,9,-39,48,126,117,87,68,-19,-9,19
34,19,-14,-26,24,2,-34,48,122,117,87,58,-19,-9,29
29,19,-9,-24,19,4,-29,48,117,117,87,58,-19,-9,29
24,19,-4,-21,14,7,-24,48,112,117,87,58,-19,-9,29
19,19,0,-19,9,9,-19,48,107,117,87,58,-19,-9,29
29,24,-4,-26,17,9,-29,39,107,107,87,68,-19,-4,29
29,29,0,-29,14,14,-29,39,107,107,87,68,-19,0,29
29,34,4,-31,12,19,-29,39,107,107,87,68,-19,4,29
29,39,9,-34,9,24,-29,39,107,107,87,68,-19,9,29
19,34,14,-26,2,24,-19,39,102,102,82,63,-19,19,29
19,29,9,-24,4,19,-19,39,97,97,78,58,-19,19,29
19,24,4,-21,7,14,-19,39,92,92,73,53,-19,19,29
19,19,0,-19,9,9,-19,39,87,87,68,48,-19,19,29
14,9,-4,-12,9,2,-9,39,87,87,58,39,-29,24,43
9,9,0,-9,4,4,0,39,87,87,58,39,-29,29,48
4,9,4,-7,0,7,9,39,87,87,58,39,-29,34,53
0,9,9,-4,-4,9,19,39,87,87,58,39,-29,39,58
0,9,9,-4,-4,9,19,29,78,78,48,34,-29,48,48
0,9,9,-4,-4,9,19,29,78,78,48,29,-29,48,48
0,9,9,-4,-4,9,19,29,78,78,48,24,-29,48,48
0,9,9,-4,-4,9,19,29,78,78,48,19,-29,48,48
0,19,19,-9,-9,19,19,29,68,73,43,9,-39,39,48
0,19,19,-9,-9,19,19,29,68,68,39,9,-39,39,48
0,19,19,-9,-9,19,19,29,68,63,34,9,-39,39,48
0,19,19,-9,-9,19,19,29,68,58,29,9,-39,39,48
-9,14,24,-2,-17,19,29,29,68,48,19,19,-29,29,58
-9,9,19,0,-14,14,29,29,68,48,19,19,-29,29,58
-9,4,14,2,-12,9,29,29,68,48,19,19,-29,29,58
-9,0,9,4,-9,4,29,29,68,48,19,19,-29,29,58
-9,-9,0,9,-4,-4,39,29,58,39,19,29,-19,29,58
-9,-19,-9,14,0,-14,39,29,58,39,19,29,-19,29,58
-9,-29,-19,19,4,-24,39,29,58,39,19,29,-19,29,58
-9,-39,-29,24,9,-34,39,29,58,39,19,29,-19,29,58
-9,-48,-39,29,14,-43,48,19,53,34,14,19,-19,29,53
-9,-48,-39,29,14,-43,48,19,48,29,9,9,-19,29,48
-9,-48,-39,29,14,-43,48,19,43,24,4,0,-19,29,43
-9,-48,-39,29,14,-43,48,19,39,19,0,-9,-19,29,39
-24,-48,-24,36,0,-36,48,14,24,4,-14,-24,-19,39,34
-29,-48,-19,39,-4,-34,48,9,19,0,-19,-29,-19,39,29
-34,-48,-14,41,-9,-31,48,4,14,-4,-24,-34,-19,39,24
-39,-48,-9,43,-14,-29,48,0,9,-9,-29,-39,-19,39,19
-43,-58,-14,51,-14,-36,58,-9,-4,-24,-43,-53,-9,29,4
-48,-68,-19,58,-14,-43,58,-19,-9,-29,-48,-58,-9,29,0
-53,-78,-24,65,-14,-51,58,-29,-14,-34,-53,-63,-9,29,-4
-58,-87,-29,73,-14,-58,58,-39,-19,-39,-58,-68,-9,29,-9
-48,-78,-29,63,-9,-53,39,-48,-29,-29,-53,-53,4,14,-24
-48,-78,-29,63,-9,-53,29,-48,-29,-29,-48,-48,9,0,-29
-48,-78,-29,63,-9,-53,19,-48,-29,-29,-43,-43,14,-14,-34
-48,-78,-29,63,-9,-53,9,-48,-29,-29,-39,-39,19,-29,-39
-43,-92,-48,68,2,-70,-9,-39,-19,-29,-39,-29,29,-43,-48
-39,-97,-58,68,9,-78,-19,-39,-19,-29,-39,-29,29,-48,-48
-34,-102,-68,68,17,-85,-29,-39,-19,-29,-39,-29,29,-53,-48
-29,-107,-78,68,24,-92,-39,-39,-19,-29,-39,-29,29,-58,-48
-24,-97,-73,61,24,-85,-39,-29,-14,-24,-39,-34,29,-58,-48
-19,-97,-78,58,29,-87,-39,-29,-9,-19,-39,-39,29,-58,-48
-14,-97,-82,56,34,-90,-39,-29,-4,-14,-39,-43,29,-58,-48
-9,-97,-87,53,39,-92,-39,-29,0,-9,-39,-48,29,-58,-48
0,-82,-82,41,41,-82,-39,-24,9,-4,-24,-39,19,-48,-43
0,-78,-78,39,39,-78,-39,-19,9,0,-19,-29,19,-48,-39
0,-73,-73,36,36,-73,-39,-14,9,4,-14,-19,19,-48,-34
0,-68,-68,34,34,-68,-39,-9,9,9,-9,-9,19,-48,-29
9,-53,-63,21,36,-58,-39,-9,14,14,-4,0,19,-48,-29
9,-48,-58,19,34,-53,-39,-9,19,19,0,0,19,-48,-29
9,-43,-53,17,31,-48,-39,-9,24,24,4,0,19,-48,-29
9,-39,-48,14,29,-43,-39,-9,29,29,9,0,19,-48,-29
9,-24,-34,7,21,-29,-29,-9,39,29,9,-9,14,-39,-24
9,-19,-29,4,19,-24,-29,-9,39,29,9,-9,9,-29,-19
9,-14,-24,2,17,-19,-29,-9,39,29,9,-9,4,-19,-14
9,-9,-19,0,14,-14,-29,-9,39,29,9,-9,0,-9,-9
9,-14,-24,2,17,-19,-24,0,48,39,19,0,0,0,-4
9,-19,-29,4,19,-24,-19,0,48,39,19,0,0,0,0
9,-24,-34,7,21,-29,-14,0,48,39,19,0,0,0,4
9,-29,-39,9,24,-34,-9,0,48,39,19,0,0,0,9
9,-19,-29,4,19,-24,0,14,63,53,24,4,0,4,14
9,-19,-29,4,19,-24,0,19,68,58,29,9,0,9,19
9,-19,-29,4,19,-24,0,24,73,63,34,14,0,14,24
9,-19,-29,4,19,-24,0,29,78,68,39,19,0,19,29
19,-4,-24,-7,21,-14,-9,19,78,73,43,29,-4,19,29
19,0,-19,-9,19,-9,-9,19,78,78,48,29,-9,19,29
19,4,-14,-12,17,-4,-9,19,78,82,53,29,-14,19,29
19,9,-9,-14,14,0,-9,19,78,87,58,29,-19,19,29
9,9,0,-9,4,4,-4,29,78,78,48,29,-29,19,39
9,9,0,-9,4,4,0,29,78,78,48,29,-29,19,39
9,9,0,-9,4,4,4,29,78,78,48,29,-29,19,39
9,9,0,-9,4,4,9,29,78,78,48,29,-29,19,39
0,4,4,-2,-2,4,14,29,87,87,53,29,-19,19,39
0,0,0,0,0,0,19,29,87,87,58,29,-19,19,39
0,-4,-4,2,2,-4,24,29,87,87,63,29,-19,19,39
0,-9,-9,4,4,-9,29,29,87,87,68,29,-19,19,39
9,0,-9,-4,9,-4,29,29,87,97,78,43,-24,29,39
9,0,-9,-4,9,-4,29,29,87,97,78,48,-29,29,39
9,0,-9,-4,9,-4,29,29,87,97,78,53,-34,29,39
9,0,-9,-4,9,-4,29,29,87,97,78,58,-39,29,39
4,-4,-9,0,7,-7,39,19,82,82,63,43,-29,43,29
0,-9,-9,4,4,-9,39,19,78,78,58,39,-29,48,29
-4,-14,-9,9,2,-12,39,19,73,73,53,34,-29,53,29
-9,-19,-9,14,0,-14,39,19,68,68,48,29,-29,58,29
-9,-29,-19,19,4,-24,39,19,78,68,39,19,-29,43,39
-9,-29,-19,19,4,-24,39,19,78,68,39,19,-29,39,39
-9,-29,-19,19,4,-24,39,19,78,68,39,19,-29,34,39
-9,-29,-19,19,4,-24,39,19,78,68,39,19,-29,29,39
-19,-39,-19,29,0,-29,48,19,78,78,48,9,-19,24,39
-19,-39,-19,29,0,-29,48,19,78,78,48,9,-19,19,39
-19,-39,-19,29,0,-29,48,19,78,78,48,9,-19,14,39
-19,-39,-19,29,0,-29,48,19,78,78,48,9,-19,9,39
-19,-48,-29,34,4,-39,48,19,78,78,48,19,-19,9,39
-19,-48,-29,34,4,-39,48,19,78,78,48,19,-19,9,39
-19,-48,-29,34,4,-39,48,19,78,78,48,19,-19,9,39
-19,-48,-29,34,4,-39,48,19,78,78,48,19,-19,9,39
-19,-63,-43,41,12,-53,58,9,73,73,43,9,-19,-4,29
-19,-68,-48,43,14,-58,58,9,68,68,39,9,-19,-9,19
-19,-73,-53,46,17,-63,58,9,63,63,34,9,-19,-14,9
-19,-78,-58,48,19,-68,58,9,58,58,29,9,-19,-19,0
-19,-68,-48,43,14,-58,43,0,48,43,19,4,-9,-19,-19
-19,-68,-48,43,14,-58,39,-9,39,39,19,0,-9,-19,-29
-19,-68,-48,43,14,-58,34,-19,29,34,19,-4,-9,-19,-39
-19,-68,-48,43,14,-58,29,-29,19,29,19,-9,-9,-19,-48
-29,-73,-43,51,7,-58,14,-39,9,24,14,-14,0,-24,-58
-29,-78,-48,53,9,-63,9,-39,9,19,9,-19,0,-29,-58
-29,-82,-53,56,12,-68,4,-39,9,14,4,-24,0,-34,-58
-29,-87,-58,58,14,-73,0,-39,9,9,0,-29,0,-39,-58
-19,-97,-78,58,29,-87,-14,-39,19,14,9,-14,4,-48,-58
-19,-97,-78,58,29,-87,-19,-39,19,19,9,-9,9,-58,-58
-19,-97,-78,58,29,-87,-24,-39,19,24,9,-4,14,-68,-58
-19,-97,-78,58,29,-87,-29,-39,19,29,9,0,19,-78,-58
-4,-78,-73,41,34,-75,-43,-29,34,43,24,14,9,-78,-58
0,-68,-68,34,34,-68,-48,-29,39,48,29,19,9,-78,-58
4,-58,-63,26,34,-61,-53,-29,43,53,34,24,9,-78,-58
9,-48,-58,19,34,-53,-58,-29,48,58,39,29,9,-78,-58
19,-34,-53,7,36,-43,-58,-24,53,73,53,39,9,-73,-43
19,-29,-48,4,34,-39,-58,-19,58,78,58,39,9,-68,-39
19,-24,-43,2,31,-34,-58,-14,63,82,63,39,9,-63,-34
19,-19,-39,0,29,-29,-58,-9,68,87,68,39,9,-58,-29
29,-14,-43,-7,36,-29,-58,0,78,87,68,29,0,-43,-29
29,-9,-39,-9,34,-24,-58,0,78,87,68,29,0,-39,-29
29,-4,-34,-12,31,-19,-58,0,78,87,68,29,0,-34,-29
29,0,-29,-14,29,-14,-58,0,78,87,68,29,0,-29,-29
29,9,-19,-19,24,-4,-48,9,87,97,68,29,-4,-14,-14
29,9,-19,-19,24,-4,-48,9,87,97,68,29,-9,-9,-9
29,9,-19,-19,24,-4,-48,9,87,97,68,29,-14,-4,-4
29,9,-19,-19,24,-4,-48,9,87,97,68,29,-19,0,0
29,0,-29,-14,29,-14,-39,24,102,107,73,34,-9,0,4
29,0,-29,-14,29,-14,-39,29,107,107,78,39,-9,0,9
29,0,-29,-14,29,-14,-39,34,112,107,82,43,-9,0,14
29,0,-29,-14,29,-14,-39,39,117,107,87,48,-9,0,19
29,4,-24,-17,26,-9,-29,48,126,122,92,63,-19,9,24
29,9,-19,-19,24,-4,-29,48,126,126,97,68,-19,9,29
29,14,-14,-21,21,0,-29,48,126,131,102,73,-19,9,34
29,19,-9,-24,19,4,-29,48,126,136,107,78,-19,9,39
29,9,-19,-19,24,-4,-19,48,136,126,107,68,-29,9,39
29,9,-19,-19,24,-4,-19,48,136,126,107,68,-29,9,39
29,9,-19,-19,24,-4,-19,48,136,126,107,68,-29,9,39
29,9,-19,-19,24,-4,-19,48,136,126,107,68,-29,9,39
19,19,0,-19,9,9,-9,48,136,126,107,58,-39,19,48
19,19,0,-19,9,9,-9,48,136,126,107,58,-39,19,48
19,19,0,-19,9,9,-9,48,136,126,107,58,-39,19,48
19,19,0,-19,9,9,-9,48,136,126,107,58,-39,19,48
14,29,14,-21,0,21,-4,39,136,126,97,48,-48,29,48
9,29,19,-19,-4,24,0,39,136,126,97,48,-48,29,48
4,29,24,-17,-9,26,4,39,136,126,97,48,-48,29,48
0,29,29,-14,-14,29,9,39,136,126,97,48,-48,29,48
0,29,29,-14,-14,29,9,39,136,136,107,53,-48,34,58
0,29,29,-14,-14,29,9,39,136,136,107,58,-48,39,58
0,29,29,-14,-14,29,9,39,136,136,107,63,-48,43,58
0,29,29,-14,-14,29,9,39,136,136,107,68,-48,48,58
0,19,19,-9,-9,19,9,39,131,126,97,68,-39,43,53
0,19,19,-9,-9,19,9,39,126,126,97,68,-39,39,48
0,19,19,-9,-9,19,9,39,122,126,97,68,-39,34,43
0,19,19,-9,-9,19,9,39,117,126,97,68,-39,29,39
-9,14,24,-2,-17,19,0,34,112,122,92,53,-29,19,34
-9,9,19,0,-14,14,0,29,107,117,87,48,-29,19,29
-9,4,14,2,-12,9,0,24,102,112,82,43,-29,19,24
-9,0,9,4,-9,4,0,19,97,107,78,39,-29,19,19
-9,-9,0,9,-4,-4,4,14,82,92,73,29,-24,4,14
-9,-19,-9,14,0,-14,9,9,78,87,68,29,-19,0,9
-9,-29,-19,19,4,-24,14,4,73,82,63,29,-14,-4,4
-9,-43,-34,26,12,-39,9,-4,68,73,58,29,-14,-9,0
-14,-43,-29,29,7,-36,0,-14,58,68,58,29,-4,-14,-9
-24,-43,-19,34,-2,-31,0,-19,58,63,58,29,0,-14,-19
-24,-43,-19,34,-2,-31,0,-19,53,63,58,29,0,-14,-29
-24,-48,-24,36,0,-36,0,-24,48,68,58,24,0,-14,-34
-24,-58,-34,41,4,-46,-9,-24,48,58,43,24,0,-39,-39
-24,-63,-39,43,7,-51,-9,-24,48,58,39,19,0,-43,-43
-19,-63,-43,41,12,-53,-14,-24,39,53,34,14,0,-48,-48
-14,-63,-48,39,17,-56,-14,-24,34,53,29,9,-9,-43,-53
-19,-73,-53,46,17,-63,-4,-29,43,48,29,9,9,-53,-63
-19,-78,-58,48,19,-68,-4,-24,39,48,29,9,14,-63,-58
-19,-78,-58,48,19,-68,-4,-19,39,48,29,9,14,-63,-58
-19,-78,-58,48,19,-68,-4,-19,34,48,29,9,14,-58,-58
-14,-73,-58,43,21,-65,-14,-19,43,58,39,9,14,-63,-58
-9,-73,-63,41,26,-68,-19,-14,48,58,39,9,9,-68,-63
-4,-68,-63,36,29,-65,-29,-14,53,58,43,14,9,-68,-68
0,-68,-68,34,34,-68,-39,-14,53,63,48,14,4,-73,-73
0,-53,-53,26,26,-53,-39,-19,53,63,48,24,4,-63,-68
0,-48,-48,24,24,-48,-39,-24,53,63,53,24,4,-63,-58
4,-48,-53,21,29,-51,-43,-29,53,68,58,24,4,-58,-53
4,-43,-48,19,26,-46,-43,-29,58,82,58,24,4,-53,-53
19,-39,-58,9,39,-48,-53,-14,68,82,68,34,-4,-53,-53
24,-34,-58,4,41,-46,-53,-4,78,82,73,43,-4,-58,-53
24,-34,-58,4,41,-46,-58,-4,78,82,73,43,-4,-58,-53
24,-29,-53,2,39,-41,-63,0,78,92,73,48,-4,-58,-48
24,-19,-43,-2,34,-31,-53,4,92,97,82,53,-14,-48,-39
29,-9,-39,-9,34,-24,-48,9,92,107,87,53,-19,-39,-34
29,-4,-34,-12,31,-19,-48,14,92,112,92,53,-19,-29,-24
24,-4,-29,-9,26,-17,-43,14,97,117,97,53,-19,-24,-14
34,9,-24,-21,29,-7,-39,19,107,117,92,53,-29,-19,-4
34,9,-24,-21,29,-7,-34,29,107,112,92,48,-29,-14,0
34,14,-19,-24,26,-2,-39,34,107,112,92,48,-29,-14,0
34,14,-19,-24,26,-2,-34,39,112,112,92,48,-29,-9,4
34,9,-24,-21,29,-7,-24,53,122,117,92,53,-29,0,9
34,9,-24,-21,29,-7,-19,53,122,122,97,58,-29,4,14
34,4,-29,-19,31,-12,-19,53,122,126,97,58,-29,9,24
34,-4,-39,-14,36,-21,-14,53,122,126,102,58,-29,14,29
24,-9,-34,-7,29,-21,0,53,122,136,102,58,-29,9,29
29,-9,-39,-9,34,-24,4,53,126,131,102,58,-29,4,29
29,-9,-39,-9,34,-24,9,53,126,131,102,58,-29,0,29
29,-14,-43,-7,36,-29,14,53,126,131,102,58,-29,-4,29
19,-24,-43,2,31,-34,14,63,126,122,97,58,-19,0,39
19,-24,-43,2,31,-34,14,63,126,122,92,53,-19,4,39
19,-24,-43,2,31,-34,14,63,126,122,87,48,-14,9,39
19,-24,-43,2,31,-34,14,63,126,122,82,43,-14,14,43
19,-24,-43,2,31,-34,24,53,126,112,92,53,-24,14,43
19,-24,-43,2,31,-34,24,53,126,112,92,48,-29,14,43
19,-19,-39,0,29,-29,24,53,126,117,92,48,-29,14,43
19,-19,-39,0,29,-29,24,53,126,117,92,48,-29,19,43
9,-19,-29,4,19,-24,24,43,117,117,82,39,-19,19,39
9,-19,-29,4,19,-24,24,43,117,112,82,39,-19,24,39
9,-19,-29,4,19,-24,24,43,117,112,82,39,-19,24,34
9,-19,-29,4,19,-24,24,43,117,112,82,39,-19,24,29
0,-29,-29,14,14,-29,34,34,107,102,82,29,-29,24,39
0,-29,-29,14,14,-29,39,34,107,102,82,29,-29,24,39
0,-29,-29,14,14,-29,39,34,107,102,82,29,-29,24,39
0,-29,-29,14,14,-29,39,34,107,102,82,29,-29,24,39
9,-29,-39,9,24,-34,39,34,107,92,73,29,-29,29,39
4,-29,-34,12,19,-31,39,34,107,92,73,29,-29,29,39
4,-29,-34,12,19,-31,43,34,107,92,73,29,-29,29,43
4,-29,-34,12,19,-31,43,34,107,92,73,29,-29,29,43
-9,-24,-14,17,2,-19,43,24,107,97,82,39,-29,34,43
-14,-19,-4,17,-4,-12,48,24,107,97,82,39,-34,39,43
-19,-14,4,17,-12,-4,48,24,102,102,78,39,-34,43,43
-24,-9,14,17,-19,2,48,24,102,107,78,34,-34,53,43
-24,-19,4,21,-14,-7,58,19,97,102,68,24,-43,43,39
-29,-24,4,26,-17,-9,63,14,92,97,68,24,-43,48,39
-29,-24,4,26,-17,-9,63,9,87,92,68,24,-43,48,34
-34,-24,9,29,-21,-7,63,4,82,87,68,24,-43,48,34
-34,-34,0,34,-17,-17,48,0,73,78,53,24,-34,34,24
-34,-34,0,34,-17,-17,43,-9,68,78,53,24,-34,24,14
-34,-39,-4,36,-14,-21,39,-19,68,78,53,19,-29,14,4
-34,-39,-4,36,-14,-21,34,-29,68,78,58,19,-29,4,-4
-19,-29,-9,24,-4,-19,14,-29,68,87,58,34,-29,-9,-24
-14,-24,-9,19,-2,-17,-9,-24,68,87,58,34,-24,-24,-29
-9,-19,-9,14,0,-14,-24,-24,68,87,58,34,-14,-34,-34
-4,-14,-9,9,2,-12,-39,-29,68,87,58,34,-9,-43,-39
-4,-14,-9,9,2,-12,-58,-29,68,92,78,34,-4,-39,-48
-4,-19,-14,12,4,-17,-48,-19,73,92,78,34,-4,-39,-39
-4,-19,-14,12,4,-17,-48,-9,87,102,87,34,-4,-39,-34
0,-9,-9,4,4,-9,-53,-4,92,112,87,43,-9,-39,-29
9,-4,-14,-2,12,-9,-43,24,122,126,107,48,-24,-24,-4
19,14,-4,-17,12,4,-34,53,170,180,146,73,-29,-9,29
19,43,24,-31,-2,34,-43,92,248,273,214,117,-39,4,73
43,92,48,-68,-2,70,-68,122,356,390,312,180,-68,4,92
73,151,78,-112,-2,114,-78,175,468,527,429,263,-97,4,122
102,204,102,-153,0,153,-97,234,600,697,575,356,-131,4,146
151,263,112,-207,19,187,-112,302,746,883,741,468,-151,-9,161
209,302,92,-256,58,197,-141,370,878,1044,888,566,-170,-29,175
253,356,102,-305,75,229,-165,444,1000,1185,1019,653,-195,-48,190
292,434,141,-363,75,287,-190,507,1141,1361,1176,771,-229,-48,224
351,541,190,-446,80,366,-229,556,1268,1551,1351,897,-273,-48,258
414,663,248,-539,82,456,-287,619,1415,1751,1546,1054,-302,-58,292
507,775,268,-641,119,522,-336,707,1600,1981,1766,1215,-351,-73,317
590,873,283,-732,153,578,-385,800,1761,2176,1937,1337,-400,-112,317
668,980,312,-824,178,646,-458,844,1854,2327,2078,1459,-439,-165,263
761,1122,361,-941,200,741,-556,839,1917,2483,2254,1625,-483,-229,190
849,1327,478,-1088,185,902,-692,751,1947,2674,2479,1830,-531,-283,102
917,1581,663,-1249,126,1122,-844,610,1981,2913,2766,2088,-590,-346,9
961,1830,868,-1395,46,1349,-1000,468,2030,3176,3084,2366,-644,-419,-117
990,1995,1005,-1493,-7,1500,-1102,361,2039,3376,3303,2557,-683,-488,-244
1010,2054,1044,-1532,-17,1549,-1156,278,1991,3459,3430,2664,-683,-561,-385
1024,2054,1029,-1539,-2,1542,-1180,234,1981,3562,3552,2762,-663,-644,-522
995,2025,1029,-1510,-17,1527,-1176,239,2030,3669,3679,2864,-658,-683,-595
946,1952,1005,-1449,-29,1478,-1137,239,2049,3664,3689,2884,-619,-692,-624
951,1825,873,-1388,39,1349,-1102,283,2000,3450,3484,2786,-575,-766,-717
980,1615,634,-1298,173,1124,-1063,351,1869,3069,3152,2586,-497,-854,-844
956,1366,409,-1161,273,888,-985,351,1620,2605,2757,2342,-409,-893,-902
873,1161,287,-1017,292,724,-893,287,1298,2103,2332,2078,-341,-868,-907
775,961,185,-868,295,573,-771,234,1000,1654,1952,1820,-283,-819,-878
663,727,63,-695,300,395,-629,180,717,1249,1576,1522,-209,-741,-810
488,453,-34,-470,261,209,-458,63,346,775,1078,1078,-122,-614,-717
263,165,-97,-214,180,34,-268,-78,-87,219,488,556,-24,-448,-585
68,-53,-122,-7,95,-87,-87,-180,-419,-234,-4,117,24,-292,-448
-29,-170,-141,100,56,-156,24,-214,-561,-478,-297,-131,48,-200,-351
-24,-229,-204,126,90,-217,58,-151,-492,-483,-395,-239,58,-156,-278
-24,-248,-224,136,100,-236,82,-87,-370,-405,-375,-268,58,-112,-209
-39,-224,-185,131,73,-204,87,-68,-312,-356,-326,-248,43,-82,-165
-39,-209,-170,124,65,-190,87,-63,-273,-317,-287,-224,34,-63,-131
-29,-200,-170,114,70,-185,78,-39,-224,-268,-263,-219,29,-53,-97
-29,-175,-146,102,58,-161,82,-19,-180,-234,-234,-204,14,-39,-63
-24,-146,-122,85,48,-134,82,0,-156,-214,-219,-175,4,-24,-48
-19,-126,-107,73,43,-117,73,0,-126,-190,-195,-161,4,-9,-39
-24,-117,-92,70,34,-104,78,14,-107,-165,-165,-141,14,9,-19
-24,-107,-82,65,29,-95,78,19,-87,-141,-156,-136,9,19,4
-29,-87,-58,58,14,-73,82,19,-68,-131,-151,-122,0,34,24
-34,-87,-53,61,9,-70,78,24,-68,-131,-151,-131,0,39,24
-34,-87,-53,61,9,-70,82,24,-58,-126,-141,-131,0,39,29
-39,-92,-53,65,7,-73,82,24,-48,-117,-136,-126,0,39,29
-43,-97,-53,70,4,-75,82,39,-48,-112,-131,-126,-4,43,39
-34,-97,-63,65,14,-80,82,34,-43,-107,-126,-126,-4,43,39
-34,-97,-63,65,14,-80,87,34,-34,-102,-126,-122,-4,43,39
-34,-97,-63,65,14,-80,87,34,-34,-102,-122,-122,-4,48,39
-34,-102,-68,68,17,-85,87,34,-34,-102,-122,-122,-4,48,43
-48,-117,-68,82,9,-92,92,29,-34,-112,-122,-131,-4,48,43
