I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-141,-136,4,139,-73,-65,214,175,34,-14,-53,-126,-126,-97,-112
-141,-136,4,139,-73,-65,214,180,39,-9,-48,-126,-122,-97,-112
-141,-131,9,136,-75,-61,219,185,48,-4,-43,-122,-117,-97,-117
-141,-131,9,136,-75,-61,219,190,53,-4,-39,-122,-117,-92,-117
-141,-131,9,136,-75,-61,219,200,58,0,-34,-117,-117,-87,-122
-146,-131,14,139,-80,-58,219,204,63,9,-29,-117,-117,-87,-122
-151,-131,19,141,-85,-56,219,204,68,19,-19,-117,-112,-87,-126
-146,-131,14,139,-80,-58,219,214,73,29,-9,-107,-102,-87,-131
-146,-131,14,139,-80,-58,219,219,82,39,0,-107,-97,-87,-131
-146,-131,14,139,-80,-58,219,229,97,53,19,-97,-92,-92,-136
-141,-126,14,134,-78,-56,219,239,117,68,34,-87,-87,-97,-141
-141,-126,14,134,-78,-56,219,248,136,82,48,-82,-78,-97,-146
-136,-126,9,131,-73,-58,219,253,146,97,68,-73,-73,-97,-156
-136,-122,14,129,-75,-53,214,258,165,117,73,-63,-63,-92,-161
-131,-112,19,122,-75,-46,214,268,180,141,92,-53,-53,-87,-165
-126,-107,19,117,-73,-43,214,278,204,161,117,-39,-34,-82,-170
-122,-107,14,114,-68,-46,214,287,229,190,141,-14,-14,-82,-180
-117,-107,9,112,-63,-48,214,307,253,224,175,4,0,-82,-190
-112,-97,14,104,-63,-41,214,322,287,263,214,24,24,-82,-195
-107,-97,9,102,-58,-43,214,341,326,302,253,43,48,-82,-209
-97,-92,4,95,-51,-43,214,361,366,346,297,73,78,-78,-219
-87,-92,-4,90,-41,-48,214,385,405,395,346,102,107,-73,-234
-68,-82,-14,75,-26,-48,214,409,458,444,405,131,136,-73,-253
-58,-73,-14,65,-21,-43,214,429,512,507,473,165,175,-63,-263
-43,-68,-24,56,-9,-46,214,458,575,570,536,209,224,-63,-283
-29,-63,-34,46,2,-48,219,488,639,644,610,263,268,-48,-302
-14,-53,-39,34,12,-46,219,522,702,722,678,312,317,-48,-322
0,-39,-39,19,19,-39,214,546,775,790,751,351,356,-43,-341
24,-24,-48,0,36,-36,209,570,844,868,829,405,409,-43,-356
39,-9,-48,-14,43,-29,209,595,902,936,902,453,458,-24,-375
58,9,-48,-34,53,-19,200,614,956,1010,971,502,502,-9,-385
82,24,-58,-53,70,-17,190,629,1000,1063,1034,541,536,0,-395
92,43,-48,-68,70,-2,180,644,1039,1107,1078,575,570,4,-405
117,48,-68,-82,92,-9,170,649,1058,1137,1098,600,595,19,-405
126,63,-63,-95,95,0,156,649,1058,1137,1093,605,605,24,-400
131,73,-58,-102,95,7,146,639,1049,1112,1083,605,605,29,-395
136,78,-58,-107,97,9,131,610,1005,1054,1029,590,590,34,-370
131,92,-39,-112,85,26,117,566,922,976,951,561,551,43,-341
122,97,-24,-109,73,36,102,507,829,878,854,512,497,58,-312
112,102,-9,-107,61,46,82,429,732,771,746,444,434,58,-273
97,107,9,-102,43,58,63,366,629,649,629,380,370,58,-234
92,102,9,-97,41,56,43,287,507,522,502,312,307,58,-190
73,92,19,-82,26,56,29,224,390,395,380,234,234,58,-161
58,78,19,-68,19,48,24,165,297,302,287,170,180,53,-131
39,63,24,-51,7,43,19,112,219,214,204,122,126,48,-102
29,53,24,-41,2,39,19,82,146,141,126,78,73,34,-87
14,39,24,-26,-4,31,19,43,87,68,58,34,34,24,-68
0,29,29,-14,-14,29,14,24,43,24,14,0,-4,24,-58
-9,29,39,-9,-24,34,14,9,14,-4,-19,-34,-34,19,-48
-19,14,34,2,-26,24,14,0,-14,-39,-58,-53,-53,19,-39
-24,9,34,7,-29,21,19,-14,-43,-68,-87,-68,-68,14,-29
-29,0,29,14,-29,14,24,-24,-58,-82,-102,-87,-73,0,-19
-39,-24,14,31,-26,-4,24,-24,-73,-92,-107,-97,-78,-9,-19
-43,-29,14,36,-29,-7,24,-24,-82,-102,-117,-92,-87,-14,-9
-48,-29,19,39,-34,-4,24,-29,-92,-117,-131,-97,-87,-14,-9
-48,-29,19,39,-34,-4,24,-29,-97,-122,-141,-102,-92,-14,-4
-53,-24,29,39,-41,2,24,-34,-97,-122,-141,-107,-97,-14,-4
-48,-24,24,36,-36,0,24,-34,-102,-126,-141,-117,-102,-24,-4
-43,-24,19,34,-31,-2,24,-34,-107,-131,-146,-122,-102,-29,0
-48,-29,19,39,-34,-4,24,-34,-107,-131,-151,-122,-102,-29,0
-48,-29,19,39,-34,-4,24,-39,-112,-131,-156,-122,-107,-29,0
-53,-34,19,43,-36,-7,24,-39,-117,-136,-156,-122,-112,-29,4
-58,-39,19,48,-39,-9,24,-39,-117,-136,-156,-126,-117,-24,4
-58,-39,19,48,-39,-9,24,-43,-122,-141,-156,-126,-117,-24,9
-58,-34,24,46,-41,-4,24,-43,-122,-141,-156,-126,-117,-24,9
-58,-34,24,46,-41,-4,24,-43,-122,-146,-156,-126,-117,-24,9
-53,-34,19,43,-36,-7,24,-43,-117,-146,-161,-126,-117,-24,9
-48,-34,14,41,-31,-9,24,-43,-117,-146,-161,-126,-117,-29,9
-53,-39,14,46,-34,-12,24,-43,-117,-146,-161,-131,-112,-34,9
-53,-48,4,51,-29,-21,24,-43,-117,-146,-161,-131,-112,-34,9
-53,-58,-4,56,-24,-31,24,-43,-117,-146,-161,-131,-112,-39,9
-53,-48,4,51,-29,-21,24,-43,-117,-146,-161,-131,-112,-34,4
-53,-39,14,46,-34,-12,24,-43,-117,-146,-161,-131,-112,-29,0
-58,-39,19,48,-39,-9,24,-43,-117,-146,-161,-131,-112,-29,0
-63,-39,24,51,-43,-7,24,-39,-117,-146,-161,-131,-112,-29,0
-63,-39,24,51,-43,-7,29,-39,-117,-146,-161,-131,-112,-29,4
-63,-43,19,53,-41,-12,29,-39,-117,-141,-161,-131,-112,-29,9
-63,-43,19,53,-41,-12,29,-39,-112,-141,-161,-131,-112,-29,4
-63,-43,19,53,-41,-12,24,-34,-107,-136,-156,-131,-112,-29,4
-63,-39,24,51,-43,-7,19,-34,-107,-136,-151,-122,-112,-29,4
-68,-39,29,53,-48,-4,19,-34,-112,-136,-151,-117,-112,-29,4
-63,-39,24,51,-43,-7,19,-34,-107,-131,-146,-117,-107,-29,4
-58,-39,19,48,-39,-9,19,-34,-107,-126,-141,-117,-107,-24,4
-58,-39,19,48,-39,-9,19,-34,-102,-122,-141,-112,-102,-19,4
-58,-39,19,48,-39,-9,19,-34,-102,-117,-136,-112,-97,-14,4
-53,-39,14,46,-34,-12,14,-29,-102,-117,-131,-107,-97,-19,9
-48,-43,4,46,-26,-19,14,-29,-102,-112,-131,-107,-97,-19,9
-48,-43,4,46,-26,-19,14,-29,-97,-112,-126,-107,-97,-19,9
-48,-43,4,46,-26,-19,14,-29,-87,-102,-126,-102,-92,-24,9
-48,-39,9,43,-29,-14,14,-29,-87,-102,-122,-102,-97,-24,9
-43,-34,9,39,-26,-12,9,-29,-87,-102,-117,-97,-97,-24,9
-43,-34,9,39,-26,-12,9,-34,-87,-102,-112,-97,-92,-19,9
-43,-34,9,39,-26,-12,9,-39,-87,-97,-112,-92,-92,-9,9
-58,-29,29,43,-43,0,9,-39,-82,-97,-107,-97,-92,-9,9
-68,-29,39,48,-53,4,14,-34,-82,-97,-107,-97,-92,-9,9
-53,-29,24,41,-39,-2,14,-34,-82,-102,-112,-97,-87,-9,4
-43,-29,14,36,-29,-7,14,-39,-82,-112,-112,-97,-87,-9,4
-43,-29,14,36,-29,-7,14,-34,-82,-112,-112,-97,-87,-14,4
-39,-29,9,34,-24,-9,14,-29,-82,-112,-112,-97,-87,-14,4
-43,-29,14,36,-29,-7,14,-29,-78,-112,-112,-92,-87,-14,9
-48,-34,14,41,-31,-9,14,-29,-78,-112,-117,-92,-87,-19,9
-53,-34,19,43,-36,-7,14,-29,-78,-112,-117,-92,-87,-19,9
-53,-34,19,43,-36,-7,14,-29,-78,-112,-117,-92,-82,-19,9
-53,-39,14,46,-34,-12,14,-29,-78,-107,-117,-97,-82,-19,9
-53,-39,14,46,-34,-12,14,-29,-78,-107,-117,-97,-82,-24,4
-53,-39,14,46,-34,-12,9,-29,-78,-102,-117,-97,-82,-24,4
-58,-39,19,48,-39,-9,9,-29,-78,-102,-122,-97,-87,-29,9
-53,-39,14,46,-34,-12,9,-29,-82,-102,-122,-97,-87,-29,9
-48,-39,9,43,-29,-14,9,-29,-87,-107,-126,-97,-87,-29,9
-48,-39,9,43,-29,-14,9,-29,-87,-112,-126,-97,-87,-24,9
-48,-39,9,43,-29,-14,9,-29,-87,-117,-126,-97,-87,-19,9
-48,-29,19,39,-34,-4,9,-29,-87,-117,-126,-97,-87,-14,9
-43,-19,24,31,-34,2,9,-29,-87,-117,-126,-97,-87,-4,4
-43,-14,29,29,-36,7,9,-29,-87,-117,-126,-97,-92,0,4
-34,-14,19,24,-26,2,24,-24,-73,-107,-122,-92,-92,4,0
-39,0,39,19,-39,19,63,0,-63,-97,-112,-87,-92,4,-14
-34,14,48,9,-41,31,102,24,-48,-82,-97,-78,-92,9,-34
-29,29,58,0,-43,43,141,48,-29,-73,-87,-73,-102,34,-53
-19,48,68,-14,-43,58,146,58,-19,-63,-78,-78,-112,53,-78
-14,68,82,-26,-48,75,146,68,-4,-53,-73,-73,-117,68,-92
4,87,82,-46,-39,85,126,68,14,-43,-63,-68,-117,82,-112
14,112,97,-63,-41,104,102,68,29,-24,-53,-58,-112,102,-126
24,131,107,-78,-41,119,82,58,43,-9,-43,-53,-102,112,-126
34,141,107,-87,-36,124,4,-4,29,-24,-53,-53,-97,112,-102
39,151,112,-95,-36,131,-92,-107,-9,-48,-68,-53,-92,117,-48
43,151,107,-97,-31,129,-146,-126,-29,-58,-82,-58,-78,117,-19
48,141,92,-95,-21,117,-161,-136,-48,-73,-92,-58,-68,112,4
48,136,87,-92,-19,112,-170,-141,-63,-78,-92,-58,-63,112,19
48,126,78,-87,-14,102,-170,-146,-73,-82,-97,-58,-48,112,29
43,117,73,-80,-14,95,-170,-161,-92,-102,-107,-63,-48,97,53
43,107,63,-75,-9,85,-180,-170,-122,-122,-117,-68,-39,87,78
48,97,48,-73,0,73,-180,-175,-126,-131,-126,-63,-29,82,97
48,92,43,-70,2,68,-170,-175,-126,-131,-126,-58,-29,82,102
39,78,39,-58,0,58,-141,-156,-122,-126,-126,-58,-29,73,92
9,48,39,-29,-14,43,-97,-131,-122,-122,-131,-68,-48,58,82
-19,24,43,-2,-31,34,-63,-107,-126,-131,-141,-87,-73,48,53
-43,0,43,21,-43,21,-39,-87,-126,-136,-146,-92,-87,39,39
-58,-9,48,34,-53,19,-24,-87,-126,-136,-151,-97,-97,39,29
-63,-14,48,39,-56,17,-9,-78,-126,-136,-151,-97,-102,29,19
-82,-24,58,53,-70,17,4,-63,-122,-136,-151,-112,-112,14,14
-87,-39,48,63,-68,4,24,-48,-122,-136,-151,-117,-117,-9,9
-97,-68,29,82,-63,-19,34,-39,-122,-141,-161,-126,-122,-29,9
-97,-82,14,90,-56,-34,43,-34,-122,-151,-165,-131,-126,-39,9
-97,-82,14,90,-56,-34,43,-34,-122,-156,-170,-141,-126,-48,14
-102,-82,19,92,-61,-31,43,-29,-126,-156,-180,-146,-126,-48,14
-107,-87,19,97,-63,-34,53,-29,-126,-156,-180,-146,-126,-48,14
-107,-87,19,97,-63,-34,63,-24,-122,-156,-180,-146,-131,-48,9
-112,-87,24,100,-68,-31,68,-19,-122,-156,-175,-146,-131,-48,9
-112,-87,24,100,-68,-31,73,-19,-117,-151,-170,-146,-131,-48,4
-107,-87,19,97,-63,-34,78,-9,-107,-141,-156,-141,-126,-43,-9
-117,-78,39,97,-78,-19,92,9,-78,-117,-146,-141,-131,-39,-29
-151,-68,82,109,-117,7,112,29,-24,-87,-131,-170,-161,-24,-73
-195,-53,141,124,-168,43,204,151,107,-9,-97,-204,-204,-14,-175
-229,-39,190,134,-209,75,429,463,414,204,29,-209,-204,4,-409
-195,19,214,87,-204,117,614,834,844,536,287,-131,-97,39,-663
-97,87,185,4,-141,136,712,1098,1215,819,512,-34,29,68,-849
73,219,146,-146,-36,183,546,1039,1376,985,678,112,200,112,-844
244,458,214,-351,14,336,224,527,941,741,546,239,278,263,-619
414,692,278,-553,68,485,-370,-507,-82,82,156,312,278,434,-48
649,883,234,-766,207,558,-1185,-1800,-1424,-775,-375,405,287,575,839
995,941,-53,-968,524,444,-2039,-2771,-2410,-1376,-673,644,551,566,1742
1263,1068,-195,-1166,729,436,-2864,-3469,-2976,-1712,-824,829,824,605,2410
1439,1107,-331,-1273,885,387,-3289,-3752,-3103,-1805,-888,912,971,605,2674
1327,610,-717,-968,1022,-53,-2615,-2849,-2283,-1200,-429,956,1122,244,2181
1010,287,-722,-649,866,-217,-1815,-1956,-1390,-624,-82,775,936,82,1556
653,146,-507,-400,580,-180,-1229,-1405,-1176,-775,-488,287,444,63,1190
375,29,-346,-202,361,-158,-819,-995,-985,-790,-634,-19,117,43,907
219,4,-214,-112,217,-104,-556,-688,-707,-605,-497,-78,14,34,629
82,-29,-112,-26,97,-70,-297,-375,-463,-424,-370,-112,-58,0,375
-14,-68,-53,41,19,-61,-78,-122,-219,-224,-229,-107,-68,-29,165
-68,-112,-43,90,-12,-78,48,9,-82,-102,-136,-107,-82,-48,39
-92,-117,-24,104,-34,-70,92,53,-43,-87,-112,-107,-92,-53,-4
-82,-117,-34,100,-24,-75,112,78,-43,-87,-112,-107,-97,-58,-19
-102,-117,-14,109,-43,-65,136,102,-24,-78,-107,-117,-97,-58,-34
-117,-122,-4,119,-56,-63,156,126,4,-53,-97,-126,-107,-63,-53
-131,-126,4,129,-68,-61,161,126,4,-53,-97,-126,-117,-68,-53
-131,-126,4,129,-68,-61,161,126,0,-63,-102,-131,-117,-73,-58
-131,-126,4,129,-68,-61,161,126,-4,-68,-107,-131,-117,-73,-63
-131,-126,4,129,-68,-61,170,131,-4,-68,-112,-131,-117,-78,-68
-136,-126,9,131,-73,-58,180,131,-4,-63,-107,-136,-117,-78,-68
-136,-126,9,131,-73,-58,180,131,0,-63,-107,-136,-122,-78,-68
-131,-131,0,131,-65,-65,180,141,0,-63,-107,-136,-122,-78,-68
-131,-136,-4,134,-63,-70,180,146,0,-63,-107,-136,-122,-78,-68
-136,-136,0,136,-68,-68,185,146,0,-58,-102,-136,-122,-78,-73
-136,-141,-4,139,-65,-73,185,151,0,-53,-102,-136,-122,-78,-73
-136,-141,-4,139,-65,-73,190,151,0,-48,-102,-136,-122,-82,-73
-136,-141,-4,139,-65,-73,195,151,-4,-48,-102,-136,-122,-82,-78
-136,-141,-4,139,-65,-73,195,151,-4,-53,-102,-136,-126,-82,-78
-136,-141,-4,139,-65,-73,195,156,0,-53,-102,-136,-126,-82,-78
-141,-146,-4,143,-68,-75,200,156,0,-53,-102,-136,-126,-87,-82
-141,-146,-4,143,-68,-75,200,161,0,-53,-97,-136,-126,-92,-82
-141,-141,0,141,-70,-70,200,156,0,-48,-97,-136,-126,-92,-82
-141,-141,0,141,-70,-70,200,156,4,-48,-92,-136,-126,-92,-87
-136,-131,4,134,-70,-63,200,161,9,-43,-92,-141,-126,-78,-87
-131,-117,14,124,-73,-51,200,161,9,-43,-92,-141,-126,-68,-87
-131,-126,4,129,-68,-61,204,165,14,-43,-87,-141,-126,-78,-87
-131,-136,-4,134,-63,-70,204,165,14,-34,-82,-136,-126,-87,-92
-136,-141,-4,139,-65,-73,204,170,14,-29,-78,-136,-122,-87,-92
-141,-141,0,141,-70,-70,209,175,19,-24,-73,-131,-117,-87,-97
-141,-141,0,141,-70,-70,204,175,24,-24,-68,-131,-117,-87,-97
-141,-141,0,141,-70,-70,200,180,29,-19,-63,-126,-117,-87,-102
-141,-141,0,141,-70,-70,200,185,39,-9,-63,-126,-117,-87,-102
-141,-141,0,141,-70,-70,200,185,48,0,-58,-126,-112,-87,-107
-136,-141,-4,139,-65,-73,200,190,53,9,-48,-112,-102,-87,-107
-136,-141,-4,139,-65,-73,200,190,63,19,-39,-107,-97,-87,-102
-141,-136,4,139,-73,-65,204,200,73,34,-24,-97,-92,-87,-107
-141,-126,14,134,-78,-56,209,209,87,48,-14,-87,-87,-87,-112
-136,-126,9,131,-73,-58,209,219,102,58,0,-82,-78,-87,-117
-126,-126,0,126,-63,-63,209,224,107,68,19,-73,-73,-87,-126
-126,-131,-4,129,-61,-68,204,229,126,87,29,-63,-63,-87,-126
-122,-131,-9,126,-56,-70,204,239,141,112,53,-53,-53,-87,-126
-117,-126,-9,122,-53,-68,204,248,161,126,78,-43,-39,-82,-131
-112,-126,-14,119,-48,-70,204,258,180,151,102,-24,-24,-82,-141
-107,-126,-19,117,-43,-73,204,263,204,180,131,-4,-9,-82,-151
-102,-117,-14,109,-43,-65,204,263,239,214,165,14,14,-82,-156
-97,-122,-24,109,-36,-73,200,283,273,253,204,39,43,-87,-165
-87,-122,-34,104,-26,-78,195,302,307,297,248,73,78,-87,-170
-78,-122,-43,100,-17,-82,195,322,341,346,292,102,107,-87,-180
-58,-112,-53,85,-2,-82,195,341,390,395,346,131,136,-92,-195
-48,-97,-48,73,0,-73,190,356,434,448,409,165,170,-82,-204
-34,-87,-53,61,9,-70,185,380,488,502,468,209,214,-82,-224
-19,-82,-63,51,21,-73,185,400,541,566,536,263,263,-68,-234
-4,-73,-68,39,31,-70,180,424,595,634,600,312,317,-68,-244
19,-63,-82,21,51,-73,175,439,653,697,673,351,356,-63,-258
53,-53,-107,0,80,-80,170,453,707,771,751,405,409,-63,-268
68,-39,-107,-14,87,-73,165,478,766,834,824,458,458,-48,-287
87,-19,-107,-34,97,-63,151,497,819,902,893,512,502,-39,-297
112,-9,-122,-51,117,-65,141,507,868,956,961,556,541,-34,-307
122,4,-117,-63,119,-56,131,517,912,1000,1010,595,580,-34,-317
146,14,-131,-80,139,-58,126,522,932,1039,1039,629,614,-14,-322
156,34,-122,-95,139,-43,117,522,932,1049,1044,644,634,-4,-322
161,48,-112,-104,136,-31,107,527,941,1044,1049,644,634,4,-322
165,58,-107,-112,136,-24,92,512,917,1005,1010,629,619,14,-302
165,68,-97,-117,131,-14,78,478,849,932,932,595,585,19,-278
161,68,-92,-114,126,-12,63,429,771,839,834,541,536,29,-253
151,68,-82,-109,117,-7,43,366,683,746,732,473,478,39,-224
136,68,-68,-102,102,0,24,317,590,639,619,409,419,48,-195
122,73,-48,-97,85,12,9,253,483,517,492,341,346,48,-156
92,73,-19,-82,56,26,0,204,380,395,370,263,263,48,-131
73,68,-4,-70,39,31,0,156,297,307,278,195,200,48,-107
48,63,14,-56,17,39,0,112,229,224,195,141,136,48,-82
34,53,19,-43,7,36,4,82,151,151,112,92,78,34,-68
14,39,24,-26,-4,31,9,43,87,78,39,43,34,24,-48
0,24,24,-12,-12,24,9,24,48,29,-4,9,0,19,-43
-9,19,29,-4,-19,24,14,9,24,-4,-39,-24,-24,9,-39
-19,4,24,7,-21,14,9,0,-4,-39,-78,-48,-48,9,-29
-24,0,24,12,-24,12,9,-14,-34,-68,-107,-68,-68,4,-19
-34,0,34,17,-34,17,19,-24,-48,-82,-126,-87,-78,4,-14
-48,-14,34,31,-41,9,24,-24,-63,-92,-136,-97,-87,9,-19
-53,-19,34,36,-43,7,24,-24,-73,-102,-146,-97,-97,-4,-9
-58,-19,39,39,-48,9,24,-29,-82,-117,-161,-107,-97,-14,-9
-53,-24,29,39,-41,2,24,-29,-87,-122,-170,-112,-107,-14,-4
-53,-24,29,39,-41,2,24,-34,-87,-122,-170,-117,-117,-14,-4
-53,-24,29,39,-41,2,24,-34,-92,-126,-170,-122,-122,-19,-4
-53,-24,29,39,-41,2,24,-34,-97,-131,-175,-122,-122,-19,0
-58,-29,29,43,-43,0,24,-29,-97,-131,-180,-122,-117,-19,0
-58,-29,29,43,-43,0,24,-29,-102,-131,-185,-122,-117,-19,0
-58,-39,19,48,-39,-9,24,-29,-102,-136,-185,-122,-117,-24,4
-58,-48,9,53,-34,-19,24,-29,-97,-136,-185,-126,-117,-24,4
-58,-48,9,53,-34,-19,24,-34,-102,-141,-185,-131,-122,-24,9
-58,-43,14,51,-36,-14,24,-34,-102,-141,-185,-136,-126,-24,9
-58,-43,14,51,-36,-14,24,-34,-107,-151,-190,-136,-126,-24,9
-53,-43,9,48,-31,-17,24,-34,-107,-156,-200,-136,-126,-24,9
-53,-43,9,48,-31,-17,24,-29,-107,-156,-200,-131,-131,-24,9
-63,-48,14,56,-39,-17,24,-24,-107,-156,-200,-131,-131,-24,9
-63,-53,9,58,-36,-21,24,-24,-107,-156,-200,-131,-131,-24,9
-63,-58,4,61,-34,-26,24,-24,-107,-156,-200,-131,-131,-29,9
-63,-58,4,61,-34,-26,24,-29,-107,-156,-200,-136,-131,-29,9
-63,-58,4,61,-34,-26,24,-34,-107,-156,-200,-141,-131,-29,9
-63,-53,9,58,-36,-21,24,-34,-107,-156,-200,-141,-131,-29,9
-63,-48,14,56,-39,-17,24,-29,-107,-156,-200,-141,-131,-29,9
-63,-48,14,56,-39,-17,29,-29,-107,-156,-200,-136,-126,-29,9
-63,-53,9,58,-36,-21,29,-29,-107,-151,-200,-131,-122,-29,9
-63,-48,14,56,-39,-17,29,-29,-107,-151,-200,-131,-122,-24,4
-63,-43,19,53,-41,-12,24,-24,-107,-146,-195,-131,-122,-19,4
-63,-39,24,51,-43,-7,24,-24,-102,-146,-190,-126,-122,-19,4
-68,-39,29,53,-48,-4,29,-24,-102,-146,-190,-126,-122,-19,4
-68,-43,24,56,-46,-9,29,-24,-97,-136,-185,-126,-117,-24,4
-68,-48,19,58,-43,-14,29,-24,-97,-126,-180,-126,-117,-24,4
-68,-48,19,58,-43,-14,24,-24,-92,-122,-180,-122,-117,-24,4
-68,-48,19,58,-43,-14,19,-24,-92,-117,-175,-122,-117,-24,4
-63,-43,19,53,-41,-12,14,-19,-97,-122,-170,-117,-117,-29,4
-58,-43,14,51,-36,-14,14,-19,-102,-122,-170,-117,-117,-29,0
-58,-43,14,51,-36,-14,14,-19,-97,-122,-165,-117,-112,-24,0
-58,-43,14,51,-36,-14,14,-19,-87,-112,-165,-112,-102,-24,0
-58,-43,14,51,-36,-14,19,-19,-87,-112,-165,-112,-102,-24,4
-53,-43,9,48,-31,-17,19,-19,-87,-112,-165,-107,-97,-24,9
-53,-39,14,46,-34,-12,19,-24,-87,-112,-161,-107,-92,-24,9
-58,-29,29,43,-43,0,14,-29,-82,-107,-161,-102,-92,-19,9
-53,-29,24,41,-39,-2,9,-29,-78,-107,-151,-97,-87,-19,9
-48,-29,19,39,-34,-4,9,-29,-78,-107,-146,-97,-87,-19,9
-48,-29,19,39,-34,-4,9,-24,-78,-102,-146,-92,-82,-19,9
-48,-29,19,39,-34,-4,9,-19,-78,-97,-146,-87,-78,-19,9
-48,-34,14,41,-31,-9,14,-19,-73,-97,-146,-87,-78,-19,9
-43,-34,9,39,-26,-12,14,-19,-68,-97,-146,-87,-73,-19,9
-43,-34,9,39,-26,-12,19,-19,-68,-97,-146,-87,-73,-19,9
-43,-24,19,34,-31,-2,19,-19,-68,-97,-146,-87,-73,-9,0
-34,-24,9,29,-21,-7,14,-19,-58,-87,-141,-82,-68,-19,0
-29,-14,14,21,-21,0,24,-4,-53,-78,-131,-78,-63,-19,-4
-4,0,4,2,-4,2,39,14,-39,-63,-117,-68,-39,-9,-9
9,9,0,-9,4,4,63,39,-19,-53,-107,-58,-19,-4,-9
34,14,-19,-24,26,-2,68,58,-4,-34,-87,-43,14,-9,-9
48,14,-34,-31,41,-9,68,78,14,-14,-73,-24,48,-14,0
63,0,-63,-31,63,-31,92,107,34,-4,-63,-19,58,-29,-4
73,-4,-78,-34,75,-41,112,136,43,9,-53,-9,73,-34,-9
73,9,-63,-41,68,-26,161,195,68,24,-39,-4,68,-24,-34
73,9,-63,-41,68,-26,156,200,68,14,-43,-4,58,-24,-34
63,14,-48,-39,56,-17,43,97,29,-9,-58,-14,43,-19,4
48,14,-34,-31,41,-9,-24,78,9,-19,-73,-29,34,-19,19
43,4,-39,-24,41,-17,-48,48,-19,-48,-97,-39,14,-24,39
39,0,-39,-19,39,-19,-73,29,-39,-68,-112,-48,-4,-24,48
29,-9,-39,-9,34,-24,-73,-4,-48,-82,-126,-58,-14,-9,53
14,-24,-39,4,26,-31,-73,-53,-73,-107,-146,-73,-39,-9,73
0,-29,-29,14,14,-29,-82,-82,-107,-122,-161,-87,-53,-9,82
-9,-29,-19,19,4,-24,-82,-102,-117,-131,-175,-97,-68,-4,82
-9,-19,-9,14,0,-14,-87,-107,-122,-136,-175,-97,-68,4,82
-14,-14,0,14,-7,-7,-73,-97,-122,-141,-175,-97,-68,4,73
-9,-29,-19,19,4,-24,-63,-97,-122,-141,-180,-102,-73,-4,78
-9,-39,-29,24,9,-34,-63,-102,-126,-151,-190,-117,-82,-9,68
-24,-48,-24,36,0,-36,-48,-87,-126,-151,-190,-112,-92,-14,58
-29,-48,-19,39,-4,-34,-43,-87,-126,-146,-190,-107,-97,-9,48
-34,-39,-4,36,-14,-21,-29,-78,-122,-146,-190,-107,-102,-4,39
-53,-34,19,43,-36,-7,-14,-63,-112,-146,-190,-122,-112,0,29
-73,-29,43,51,-58,7,4,-53,-112,-146,-190,-126,-131,-9,9
-97,-39,58,68,-78,9,14,-48,-112,-146,-200,-136,-151,-19,0
-97,-53,43,75,-70,-4,24,-43,-112,-151,-204,-141,-156,-4,-4
-97,-53,43,75,-70,-4,24,-43,-112,-156,-204,-146,-156,9,-4
-102,-53,48,78,-75,-2,24,-43,-117,-156,-209,-146,-156,0,-4
-107,-58,48,82,-78,-4,29,-48,-117,-156,-209,-146,-156,-9,-4
-107,-58,48,82,-78,-4,34,-43,-112,-151,-204,-141,-161,-9,-9
-112,-58,53,85,-82,-2,39,-39,-112,-146,-200,-136,-161,-9,-9
-107,-58,48,82,-78,-4,43,-39,-112,-141,-200,-136,-156,-9,-9
-102,-58,43,80,-73,-7,53,-29,-102,-131,-185,-136,-151,-4,-24
-112,-48,63,80,-87,7,63,-19,-73,-102,-170,-136,-156,-4,-39
-141,-39,102,90,-122,31,97,14,-9,-58,-146,-161,-180,4,-97
-185,-24,161,104,-173,68,195,141,136,34,-97,-190,-214,9,-214
-204,9,214,97,-209,112,400,434,444,244,39,-185,-204,34,-439
-161,73,234,43,-197,153,585,819,893,575,307,-102,-97,73,-692
-68,141,209,-36,-139,175,624,1000,1185,810,497,-4,29,112,-819
87,278,190,-183,-51,234,448,907,1283,917,605,131,195,170,-800
268,497,229,-383,19,363,92,375,824,673,483,273,287,312,-527
439,741,302,-590,68,522,-517,-727,-331,-73,24,326,244,492,107
658,941,283,-800,187,612,-1278,-1883,-1561,-863,-463,419,268,634,912
985,990,4,-988,490,497,-2156,-2796,-2479,-1420,-717,658,551,610,1815
1224,1078,-146,-1151,685,466,-2849,-3416,-3025,-1776,-907,800,780,634,2420
1410,1078,-331,-1244,871,373,-3172,-3557,-2952,-1708,-854,897,966,614,2566
1263,600,-663,-932,963,-31,-2537,-2732,-2210,-1190,-488,878,1034,268,2108
912,297,-614,-605,763,-158,-1737,-1888,-1385,-683,-214,649,775,117,1493
580,165,-414,-373,497,-124,-1166,-1332,-1127,-766,-536,219,336,97,1112
351,68,-283,-209,317,-107,-795,-961,-961,-780,-668,-34,58,82,849
209,39,-170,-124,190,-65,-541,-668,-678,-575,-517,-87,-29,73,580
53,-9,-63,-21,58,-36,-278,-366,-434,-390,-380,-122,-102,39,336
-43,-34,9,39,-26,-12,-78,-126,-204,-200,-244,-102,-102,14,136
-87,-68,19,78,-53,-24,39,0,-82,-92,-165,-107,-112,-9,19
-112,-78,34,95,-73,-21,82,43,-43,-78,-141,-107,-117,-24,-14
