I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-43,-24,19,34,-31,-2,24,-24,-87,-122,-141,-97,-97,-14,-4
-43,-24,19,34,-31,-2,24,-24,-97,-126,-141,-102,-102,-19,-4
-43,-24,19,34,-31,-2,24,-24,-107,-131,-146,-102,-102,-19,0
-48,-29,19,39,-34,-4,19,-29,-107,-136,-151,-102,-102,-19,0
-48,-29,19,39,-34,-4,14,-39,-112,-141,-156,-102,-107,-19,0
-48,-34,14,41,-31,-9,14,-39,-117,-146,-156,-102,-107,-24,4
-48,-39,9,43,-29,-14,14,-39,-117,-146,-156,-107,-107,-24,4
-48,-39,9,43,-29,-14,14,-43,-122,-151,-156,-107,-107,-24,9
-48,-34,14,41,-31,-9,14,-43,-122,-151,-156,-107,-107,-24,9
-48,-34,14,41,-31,-9,14,-43,-126,-156,-156,-107,-107,-24,9
-43,-34,9,39,-26,-12,14,-43,-126,-156,-161,-107,-107,-24,9
-43,-34,9,39,-26,-12,14,-43,-126,-156,-161,-107,-112,-24,9
-53,-39,14,46,-34,-12,14,-43,-126,-156,-161,-112,-112,-24,9
-53,-39,14,46,-34,-12,14,-43,-131,-156,-161,-112,-112,-24,9
-53,-39,14,46,-34,-12,14,-43,-136,-156,-161,-112,-112,-29,9
-48,-39,9,43,-29,-14,14,-43,-136,-156,-161,-112,-112,-29,14
-43,-39,4,41,-24,-17,14,-43,-136,-156,-161,-112,-112,-29,19
-43,-39,4,41,-24,-17,19,-43,-131,-156,-161,-112,-112,-29,19
-43,-39,4,41,-24,-17,24,-39,-126,-156,-161,-112,-112,-29,19
-48,-39,9,43,-29,-14,29,-39,-126,-156,-161,-112,-112,-29,19
-53,-43,9,48,-31,-17,29,-39,-126,-151,-161,-112,-112,-29,19
-53,-43,9,48,-31,-17,29,-39,-126,-151,-161,-112,-112,-29,14
-53,-43,9,48,-31,-17,24,-34,-126,-146,-156,-112,-112,-29,14
-53,-43,9,48,-31,-17,19,-34,-122,-146,-151,-107,-112,-29,14
-58,-48,9,53,-34,-19,19,-34,-122,-146,-151,-107,-112,-29,14
-58,-48,9,53,-34,-19,19,-34,-112,-141,-146,-107,-107,-29,14
-58,-48,9,53,-34,-19,19,-34,-107,-136,-141,-107,-107,-24,14
-58,-48,9,53,-34,-19,19,-34,-102,-131,-141,-102,-102,-24,9
-58,-48,9,53,-34,-19,19,-34,-102,-126,-136,-102,-97,-24,4
-53,-43,9,48,-31,-17,19,-29,-102,-126,-126,-97,-97,-29,4
-48,-43,4,46,-26,-19,24,-29,-102,-122,-122,-97,-97,-29,0
-48,-43,4,46,-26,-19,24,-24,-97,-122,-117,-97,-97,-24,0
-48,-43,4,46,-26,-19,24,-19,-87,-112,-117,-92,-92,-24,0
-48,-43,4,46,-26,-19,24,-19,-82,-102,-112,-92,-92,-24,0
-43,-43,0,43,-21,-21,19,-19,-78,-92,-107,-87,-87,-24,0
-43,-43,0,43,-21,-21,19,-19,-73,-92,-102,-87,-82,-24,0
-43,-43,0,43,-21,-21,19,-19,-68,-87,-102,-82,-82,-19,0
