I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
29,39,9,-34,9,24,-39,-39,0,19,9,29,-29,-29,-9
39,39,0,-39,19,19,-48,-43,-9,9,0,14,-39,-39,-19
39,39,0,-39,19,19,-48,-48,-9,9,0,9,-39,-39,-19
39,39,0,-39,19,19,-48,-53,-9,9,0,4,-39,-39,-19
39,39,0,-39,19,19,-48,-58,-9,9,0,0,-39,-39,-19
48,29,-19,-39,34,4,-39,-48,-14,0,-9,0,-34,-39,-19
48,29,-19,-39,34,4,-39,-48,-19,0,-9,0,-29,-39,-19
48,29,-19,-39,34,4,-39,-48,-24,0,-9,0,-24,-39,-19
48,29,-19,-39,34,4,-39,-48,-29,0,-9,0,-19,-39,-19
43,19,-24,-31,34,-2,-39,-53,-29,0,-9,9,-19,-39,-19
39,19,-19,-29,29,0,-39,-58,-29,0,-9,9,-19,-39,-19
34,19,-14,-26,24,2,-39,-63,-29,0,-9,9,-19,-39,-19
29,19,-9,-24,19,4,-39,-68,-29,0,-9,9,-19,-39,-19
19,19,0,-19,9,9,-39,-68,-29,0,-9,19,-19,-39,-19
19,19,0,-19,9,9,-39,-68,-29,0,-9,19,-19,-39,-19
19,19,0,-19,9,9,-39,-68,-29,0,-9,19,-19,-39,-19
19,19,0,-19,9,9,-39,-68,-29,0,-9,19,-19,-39,-19
29,29,0,-29,14,14,-48,-58,-39,-4,-9,24,-19,-39,-19
29,29,0,-29,14,14,-48,-58,-39,-9,-9,29,-19,-39,-19
29,29,0,-29,14,14,-48,-58,-39,-14,-9,34,-19,-39,-19
29,29,0,-29,14,14,-48,-58,-39,-19,-9,39,-19,-39,-19
29,29,0,-29,14,14,-39,-58,-39,-19,-19,29,-9,-29,-19
29,29,0,-29,14,14,-39,-58,-39,-19,-19,29,-9,-29,-19
29,29,0,-29,14,14,-39,-58,-39,-19,-19,29,-9,-29,-19
29,29,0,-29,14,14,-39,-58,-39,-19,-19,29,-9,-29,-19
29,19,-9,-24,19,4,-48,-68,-39,-9,-19,39,-9,-39,-19
29,19,-9,-24,19,4,-48,-68,-39,-9,-19,39,-9,-39,-19
29,19,-9,-24,19,4,-48,-68,-39,-9,-19,39,-9,-39,-19
29,19,-9,-24,19,4,-48,-68,-39,-9,-19,39,-9,-39,-19
19,29,9,-24,4,19,-58,-68,-48,-9,-9,48,-9,-39,-19
19,29,9,-24,4,19,-58,-68,-48,-9,-9,48,-9,-39,-19
19,29,9,-24,4,19,-58,-68,-48,-9,-9,48,-9,-39,-19
19,29,9,-24,4,19,-58,-68,-48,-9,-9,48,-9,-39,-19
9,14,4,-12,2,9,-48,-68,-39,-19,-9,48,-9,-39,-19
0,9,9,-4,-4,9,-48,-68,-39,-19,-9,48,-9,-39,-19
-9,4,14,2,-12,9,-48,-68,-39,-19,-9,48,-9,-39,-19
-19,0,19,9,-19,9,-48,-68,-39,-19,-9,48,-9,-39,-19
-14,9,24,2,-19,17,-48,-78,-39,-19,-19,39,0,-39,-19
-9,9,19,0,-14,14,-48,-78,-39,-19,-19,39,0,-39,-19
-4,9,14,-2,-9,12,-48,-78,-39,-19,-19,39,0,-39,-19
0,9,9,-4,-4,9,-48,-78,-39,-19,-19,39,0,-39,-19
0,19,19,-9,-9,19,-48,-73,-39,-19,-9,39,-9,-29,-9
0,19,19,-9,-9,19,-48,-68,-39,-19,-9,39,-9,-29,-9
0,19,19,-9,-9,19,-48,-63,-39,-19,-9,39,-9,-29,-9
0,19,19,-9,-9,19,-48,-58,-39,-19,-9,39,-9,-29,-9
0,29,29,-14,-14,29,-48,-58,-39,-19,0,34,-9,-19,-9
0,29,29,-14,-14,29,-48,-58,-39,-19,0,29,-9,-19,-9
0,29,29,-14,-14,29,-48,-58,-39,-19,0,24,-9,-19,-9
0,29,29,-14,-14,29,-48,-58,-39,-19,0,19,-9,-19,-9
4,19,14,-12,-4,17,-39,-68,-29,-19,0,9,-9,-29,-19
9,19,9,-14,0,14,-39,-68,-29,-19,0,9,-9,-29,-19
14,19,4,-17,4,12,-39,-68,-29,-19,0,9,-9,-29,-19
19,19,0,-19,9,9,-39,-68,-29,-19,0,9,-9,-29,-19
19,19,0,-19,9,9,-39,-58,-29,-29,0,0,-9,-29,-9
19,19,0,-19,9,9,-39,-58,-29,-29,0,0,-9,-29,-9
19,19,0,-19,9,9,-39,-58,-29,-29,0,0,-9,-29,-9
19,19,0,-19,9,9,-39,-58,-29,-29,0,0,-9,-29,-9
4,14,9,-9,-2,12,-39,-48,-19,-19,0,9,-9,-19,-9
0,9,9,-4,-4,9,-39,-48,-19,-19,0,9,-9,-19,-9
-4,4,9,0,-7,7,-39,-48,-19,-19,0,9,-9,-19,-9
-9,0,9,4,-9,4,-39,-48,-19,-19,0,9,-9,-19,-9
4,0,-4,-2,4,-2,-39,-39,-19,-19,9,0,-19,-19,-19
9,0,-9,-4,9,-4,-39,-39,-19,-19,9,0,-19,-19,-19
14,0,-14,-7,14,-7,-39,-39,-19,-19,9,0,-19,-19,-19
19,0,-19,-9,19,-9,-39,-39,-19,-19,9,0,-19,-19,-19
24,9,-14,-17,19,-2,-29,-39,-9,-9,9,0,-19,-19,-9
29,19,-9,-24,19,4,-29,-39,-9,-9,9,0,-19,-19,-9
34,29,-4,-31,19,12,-29,-39,-9,-9,9,0,-19,-19,-9
39,39,0,-39,19,19,-29,-39,-9,-9,9,0,-19,-19,-9
34,29,-4,-31,19,12,-29,-39,-9,-19,9,0,-19,-19,-9
29,29,0,-29,14,14,-29,-39,-9,-19,9,0,-19,-19,-9
24,29,4,-26,9,17,-29,-39,-9,-19,9,0,-19,-19,-9
19,29,9,-24,4,19,-29,-39,-9,-19,9,0,-19,-19,-9
9,19,9,-14,0,14,-39,-29,-9,-19,9,4,-29,-29,-19
9,19,9,-14,0,14,-39,-29,-9,-19,9,9,-29,-29,-19
9,19,9,-14,0,14,-39,-29,-9,-19,9,14,-29,-29,-19
9,19,9,-14,0,14,-39,-29,-9,-19,9,19,-29,-29,-19
14,19,4,-17,4,12,-29,-19,0,-9,19,24,-19,-29,-19
19,19,0,-19,9,9,-29,-19,0,-9,19,29,-19,-29,-19
24,19,-4,-21,14,7,-29,-19,0,-9,19,34,-19,-29,-19
29,19,-9,-24,19,4,-29,-19,0,-9,19,39,-19,-29,-19
29,29,0,-29,14,14,-19,-19,4,0,29,53,-29,-19,-9
29,29,0,-29,14,14,-19,-19,9,0,29,58,-29,-19,-9
29,29,0,-29,14,14,-19,-19,14,0,29,63,-29,-19,-9
29,29,0,-29,14,14,-19,-19,19,0,29,68,-29,-19,-9
34,34,0,-34,17,17,-19,-9,19,0,29,82,-29,-19,-19
39,39,0,-39,19,19,-19,-9,19,0,29,87,-29,-19,-19
43,43,0,-43,21,21,-19,-9,19,0,29,92,-29,-19,-19
48,48,0,-48,24,24,-19,-9,19,0,29,97,-29,-19,-19
43,39,-4,-41,24,17,-29,0,19,0,29,102,-29,-19,-9
39,39,0,-39,19,19,-29,0,19,0,29,107,-29,-19,-9
34,39,4,-36,14,21,-29,0,19,0,29,112,-29,-19,-9
29,39,9,-34,9,24,-29,0,19,0,29,117,-29,-19,-9
19,29,9,-24,4,19,-19,-4,19,-9,29,126,-19,-19,-9
19,29,9,-24,4,19,-19,-9,19,-9,29,126,-19,-19,-9
19,29,9,-24,4,19,-19,-14,19,-9,29,126,-19,-19,-9
19,29,9,-24,4,19,-19,-19,19,-9,29,126,-19,-19,-9
24,19,-4,-21,14,7,-29,-29,9,-9,29,117,-19,-29,-19
29,19,-9,-24,19,4,-29,-29,9,-9,29,117,-19,-29,-19
34,19,-14,-26,24,2,-29,-29,9,-9,29,117,-19,-29,-19
39,19,-19,-29,29,0,-29,-29,9,-9,29,117,-19,-29,-19
39,24,-14,-31,26,4,-29,-19,9,-9,39,117,-19,-19,-19
39,29,-9,-34,24,9,-29,-19,9,-9,39,117,-19,-19,-19
39,34,-4,-36,21,14,-29,-19,9,-9,39,117,-19,-19,-19
39,39,0,-39,19,19,-29,-19,9,-9,39,117,-19,-19,-19
29,29,0,-29,14,14,-19,-19,9,-9,29,102,-19,-19,-9
29,29,0,-29,14,14,-19,-19,9,-9,29,97,-19,-19,-9
29,29,0,-29,14,14,-19,-19,9,-9,29,92,-19,-19,-9
29,29,0,-29,14,14,-19,-19,9,-9,29,87,-19,-19,-9
29,29,0,-29,14,14,-19,-29,0,-19,39,82,-29,-19,-9
29,29,0,-29,14,14,-19,-29,0,-19,39,78,-29,-19,-9
29,29,0,-29,14,14,-19,-29,0,-19,39,73,-29,-19,-9
29,29,0,-29,14,14,-19,-29,0,-19,39,68,-29,-19,-9
19,24,4,-21,7,14,-29,-29,0,-9,39,63,-29,-29,-19
19,19,0,-19,9,9,-29,-29,0,-9,39,58,-29,-29,-19
19,14,-4,-17,12,4,-29,-29,0,-9,39,53,-29,-29,-19
19,9,-9,-14,14,0,-29,-29,0,-9,39,48,-29,-29,-19
29,14,-14,-21,21,0,-29,-24,0,-9,39,43,-29,-29,-9
29,19,-9,-24,19,4,-29,-19,0,-9,39,39,-29,-29,-9
29,24,-4,-26,17,9,-29,-14,0,-9,39,34,-29,-29,-9
29,29,0,-29,14,14,-29,-9,0,-9,39,29,-29,-29,-9
29,19,-9,-24,19,4,-19,-14,-9,-19,39,19,-19,-19,-19
29,19,-9,-24,19,4,-19,-19,-9,-19,39,19,-19,-19,-19
29,19,-9,-24,19,4,-19,-24,-9,-19,39,19,-19,-19,-19
29,19,-9,-24,19,4,-19,-29,-9,-19,39,19,-19,-19,-19
19,19,0,-19,9,9,-29,-29,-9,-29,29,9,-19,-29,-19
19,19,0,-19,9,9,-29,-29,-9,-29,29,9,-19,-29,-19
19,19,0,-19,9,9,-29,-29,-9,-29,29,9,-19,-29,-19
19,19,0,-19,9,9,-29,-29,-9,-29,29,9,-19,-29,-19
19,19,0,-19,9,9,-19,-24,-9,-29,34,9,-19,-19,-9
19,19,0,-19,9,9,-19,-19,-9,-29,39,9,-19,-19,-9
19,19,0,-19,9,9,-19,-14,-9,-29,43,9,-19,-19,-9
19,19,0,-19,9,9,-19,-9,-9,-29,48,9,-19,-19,-9
19,19,0,-19,9,9,-29,-19,-19,-39,43,0,-19,-29,-19
19,19,0,-19,9,9,-29,-19,-19,-39,39,0,-19,-29,-19
19,19,0,-19,9,9,-29,-19,-19,-39,34,0,-19,-29,-19
19,19,0,-19,9,9,-29,-19,-19,-39,29,0,-19,-29,-19
19,19,0,-19,9,9,-39,-19,-19,-39,19,-9,-29,-29,-19
19,19,0,-19,9,9,-39,-19,-19,-39,19,-9,-29,-29,-19
19,19,0,-19,9,9,-39,-19,-19,-39,19,-9,-29,-29,-19
19,19,0,-19,9,9,-39,-19,-19,-39,19,-9,-29,-29,-19
14,14,0,-14,7,7,-34,-14,-19,-39,19,0,-24,-19,-19
9,9,0,-9,4,4,-29,-9,-19,-39,19,0,-19,-19,-19
4,4,0,-4,2,2,-24,-4,-19,-39,19,0,-14,-19,-19
0,0,0,0,0,0,-19,0,-19,-39,19,0,-9,-19,-19
4,9,4,-7,0,7,-9,-9,-19,-48,19,9,0,-29,-19
9,9,0,-9,4,4,-9,-9,-19,-48,19,9,0,-29,-19
14,9,-4,-12,9,2,-9,-9,-19,-48,19,9,0,-29,-19
19,9,-9,-14,14,0,-9,-9,-19,-48,19,9,0,-29,-19
9,9,0,-9,4,4,-19,-19,-29,-58,19,0,-9,-29,-19
9,9,0,-9,4,4,-19,-19,-29,-58,19,0,-9,-29,-19
9,9,0,-9,4,4,-19,-19,-29,-58,19,0,-9,-29,-19
9,9,0,-9,4,4,-19,-19,-29,-58,19,0,-9,-29,-19
0,-4,-4,2,2,-4,-19,-19,-39,-58,9,0,-9,-39,-29
0,-9,-9,4,4,-9,-19,-19,-39,-58,9,0,-9,-39,-29
0,-14,-14,7,7,-14,-19,-19,-39,-58,9,0,-9,-39,-29
0,-19,-19,9,9,-19,-19,-19,-39,-58,9,0,-9,-39,-29
0,-14,-14,7,7,-14,-9,-19,-29,-58,19,9,-9,-29,-19
0,-9,-9,4,4,-9,-9,-19,-29,-58,19,9,-9,-29,-19
0,-4,-4,2,2,-4,-9,-19,-29,-58,19,9,-9,-29,-19
0,0,0,0,0,0,-9,-19,-29,-58,19,9,-9,-29,-19
9,0,-9,-4,9,-4,-19,-9,-19,-48,19,19,0,-29,-19
9,0,-9,-4,9,-4,-19,-9,-19,-48,19,19,0,-29,-19
9,0,-9,-4,9,-4,-19,-9,-19,-48,19,19,0,-29,-19
9,0,-9,-4,9,-4,-19,-9,-19,-48,19,19,0,-29,-19
19,9,-9,-14,14,0,-9,0,-29,-48,19,19,-4,-29,-9
19,9,-9,-14,14,0,-9,0,-29,-48,19,19,-9,-29,-9
19,9,-9,-14,14,0,-9,0,-29,-48,19,19,-14,-29,-9
19,9,-9,-14,14,0,-9,0,-29,-48,19,19,-19,-29,-9
9,0,-9,-4,9,-4,-9,-14,-39,-58,9,19,-9,-29,-19
9,0,-9,-4,9,-4,-9,-19,-39,-58,9,19,-9,-29,-19
9,0,-9,-4,9,-4,-9,-24,-39,-58,9,19,-9,-29,-19
9,0,-9,-4,9,-4,-9,-29,-39,-58,9,19,-9,-29,-19
9,0,-9,-4,9,-4,-9,-19,-29,-48,9,29,-9,-29,-19
9,0,-9,-4,9,-4,-9,-19,-29,-48,9,29,-9,-29,-19
9,0,-9,-4,9,-4,-9,-19,-29,-48,9,29,-9,-29,-19
9,0,-9,-4,9,-4,-9,-19,-29,-48,9,29,-9,-29,-19
19,0,-19,-9,19,-9,-19,-9,-29,-58,9,29,-9,-29,-19
19,0,-19,-9,19,-9,-19,-9,-29,-58,9,29,-9,-29,-19
19,0,-19,-9,19,-9,-19,-9,-29,-58,9,29,-9,-29,-19
19,0,-19,-9,19,-9,-19,-9,-29,-58,9,29,-9,-29,-19
9,4,-4,-7,7,0,-9,0,-19,-53,19,29,-9,-19,-14
9,9,0,-9,4,4,-9,0,-19,-48,19,29,-9,-19,-9
9,14,4,-12,2,9,-9,0,-19,-43,19,29,-9,-19,-4
9,19,9,-14,0,14,-9,0,-19,-39,19,29,-9,-19,0
4,14,9,-9,-2,12,-9,-9,-19,-48,9,24,-19,-29,-4
0,9,9,-4,-4,9,-9,-9,-19,-48,9,19,-19,-29,-9
-4,4,9,0,-7,7,-9,-9,-19,-48,9,14,-19,-29,-14
-9,0,9,4,-9,4,-9,-9,-19,-48,9,9,-19,-29,-19
0,0,0,0,0,0,-9,-9,-29,-48,9,0,-19,-29,-9
0,0,0,0,0,0,-9,-9,-29,-48,9,0,-19,-29,-9
0,0,0,0,0,0,-9,-9,-29,-48,9,0,-19,-29,-9
