I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-146,-92,53,119,-100,-19,126,24,0,-48,-107,-151
-156,-87,68,122,-112,-9,126,39,9,-29,-87,-141
-151,-107,43,129,-97,-31,117,19,14,-29,-78,-131
-136,-122,14,129,-75,-53,102,9,9,-48,-92,-131
-117,-141,-24,129,-46,-82,82,-4,-9,-63,-112,-156
-122,-165,-43,143,-39,-104,58,-19,-19,-73,-117,-180
-136,-126,9,131,-73,-58,78,-4,0,-53,-87,-146
-122,-78,43,100,-82,-17,102,19,14,-29,-68,-126
-122,-63,58,92,-90,-2,97,24,14,-24,-78,-126
-117,-48,68,82,-92,9,97,24,14,-19,-78,-126
-136,-78,58,107,-97,-9,97,24,14,-14,-63,-122
-141,-112,29,126,-85,-41,107,24,14,-14,-63,-122
-156,-126,29,141,-92,-48,87,24,4,-24,-73,-117
-161,-141,19,151,-90,-61,68,29,0,-34,-78,-117
-161,-131,29,146,-95,-51,58,24,0,-24,-68,-117
-141,-126,14,134,-78,-56,53,19,0,-24,-68,-117
-136,-117,19,126,-78,-48,58,9,0,-29,-73,-126
-131,-112,19,122,-75,-46,58,4,4,-29,-78,-131
-131,-107,24,119,-78,-41,78,14,14,-19,-63,-117
-131,-82,48,107,-90,-17,97,24,19,-9,-48,-92
-112,-73,39,92,-75,-17,107,24,19,-9,-43,-97
-92,-58,34,75,-63,-12,117,39,24,-4,-39,-92
-92,-68,24,80,-58,-21,122,43,24,4,-24,-87
-112,-82,29,97,-70,-26,126,53,24,4,-24,-82
-136,-97,39,117,-87,-29,107,53,19,4,-34,-82
-141,-107,34,124,-87,-36,82,53,14,4,-39,-82
-122,-122,0,122,-61,-61,68,43,14,4,-34,-82
-117,-136,-19,126,-48,-78,58,39,14,9,-29,-78
-117,-112,4,114,-61,-53,53,58,19,9,-14,-73
-117,-92,24,104,-70,-34,43,73,19,14,-9,-68
-112,-92,19,102,-65,-36,43,82,19,19,-4,-68
-107,-82,24,95,-65,-29,48,92,19,19,-4,-68
-102,-73,29,87,-65,-21,63,97,19,29,9,-53
-92,-48,43,70,-68,-2,87,117,34,43,19,-43
-117,-68,48,92,-82,-9,87,117,43,53,24,-39
-117,-78,39,97,-78,-19,87,107,29,43,24,-39
-102,-92,9,97,-56,-41,29,87,19,39,9,-53
-117,-117,0,117,-58,-58,-14,63,14,34,0,-58
-112,-92,19,102,-65,-36,9,63,14,29,14,-48
-126,-92,34,109,-80,-29,24,58,29,39,29,-43
-112,-78,34,95,-73,-21,63,92,53,68,39,-29
-87,-63,24,75,-56,-19,107,122,68,92,53,0
-63,-53,9,58,-36,-21,87,117,58,82,53,-9
-53,-53,0,53,-26,-26,82,131,53,78,58,-9
-92,-48,43,70,-68,-2,58,131,53,73,58,0
-136,-53,82,95,-109,14,48,151,53,78,58,9
-112,-48,63,80,-87,7,63,136,58,97,78,9
-53,-24,29,39,-41,2,53,112,63,102,82,9
-48,-14,34,31,-41,9,63,102,73,102,87,14
-48,0,48,24,-48,24,68,92,87,112,92,24
-39,4,43,17,-41,24,58,112,97,122,107,24
-102,4,107,48,-104,56,53,131,112,136,122,29
-126,24,151,51,-139,87,82,175,136,165,146,87
-112,43,156,34,-134,100,63,185,136,170,146,78
-97,43,141,26,-119,92,63,170,146,170,146,73
-131,43,175,43,-153,109,92,170,170,180,170,92
-112,53,165,29,-139,109,43,136,161,170,161,82
-82,58,141,12,-112,100,-4,117,151,165,156,78
-82,73,156,4,-119,114,0,102,156,165,156,78
-97,87,185,4,-141,136,24,122,185,195,175,92
-73,102,175,-14,-124,139,48,107,200,204,190,97
-48,126,175,-39,-112,151,73,97,209,214,200,102
-48,117,165,-34,-107,141,73,87,209,214,185,102
-48,117,165,-34,-107,141,68,82,214,224,180,102
-87,117,204,-14,-146,161,63,92,214,214,180,97
-102,126,229,-12,-165,178,68,112,214,219,190,102
-102,141,244,-19,-173,192,78,112,214,209,190,97
-92,151,244,-29,-168,197,82,122,219,214,200,97
-92,136,229,-21,-161,183,48,92,219,209,180,92
-92,126,219,-17,-156,173,24,53,219,200,161,78
-87,102,190,-7,-139,146,14,39,209,195,156,73
-97,87,185,4,-141,136,29,39,204,190,151,78
-68,107,175,-19,-122,141,34,24,204,180,141,68
-19,102,122,-41,-70,112,-9,4,190,161,136,53
-58,112,170,-26,-114,141,14,24,209,180,146,68
-58,102,161,-21,-109,131,24,29,219,185,136,63
-78,112,190,-17,-134,151,43,34,204,170,126,53
-117,112,229,2,-173,170,68,43,200,156,117,43
-107,107,214,0,-161,161,58,43,200,156,112,34
-107,102,209,2,-158,156,43,58,200,161,122,29
-102,87,190,7,-146,139,29,43,180,136,92,19
-58,78,136,-9,-97,107,14,29,151,112,68,4
-39,68,107,-14,-73,87,19,-4,146,112,68,0
4,48,43,-26,-19,46,19,-39,131,92,48,-14
-9,43,53,-17,-31,48,14,-24,126,78,39,-14
-24,43,68,-9,-46,56,14,-14,131,87,48,-19
-39,43,82,-2,-61,63,24,4,117,87,43,-19
-58,34,92,12,-75,63,29,19,117,78,43,-19
-53,34,87,9,-70,61,29,34,102,63,24,-24
-48,43,92,2,-70,68,43,48,97,63,24,-24
-19,43,63,-12,-41,53,34,34,97,63,24,-24
-4,43,48,-19,-26,46,24,9,73,48,9,-34
-19,4,24,7,-21,14,-9,-14,53,29,-14,-58
-19,-34,-14,26,-2,-24,-43,-48,34,9,-29,-78
-19,-34,-14,26,-2,-24,-63,-48,29,4,-14,-63
-39,-43,-4,41,-17,-24,-97,-48,19,-4,-14,-58
-63,-43,19,53,-41,-12,-73,-24,19,0,-14,-48
-82,-48,34,65,-58,-7,-34,-9,24,9,-9,-48
-68,-19,48,43,-58,14,34,19,43,24,9,-34
-14,34,48,-9,-31,41,87,39,58,39,24,-24
0,34,34,-17,-17,34,48,4,48,24,4,-43
0,24,24,-12,-12,24,9,-9,43,9,-4,-58
14,19,4,-17,4,12,-4,-9,29,4,-14,-68
9,14,4,-12,2,9,-19,-29,19,0,-24,-78
9,-19,-29,4,19,-24,-29,-48,9,-14,-34,-78
14,-29,-43,7,29,-36,-14,-63,4,-19,-34,-73
-43,-34,9,39,-26,-12,9,-24,19,4,-9,-53
-87,-24,63,56,-75,19,43,14,34,29,14,-34
-58,-24,34,41,-46,4,29,29,34,19,0,-43
-29,-29,0,29,-14,-14,19,29,29,9,-14,-53
-14,-34,-19,24,2,-26,9,14,19,4,-19,-73
-9,-34,-24,21,7,-29,-4,0,4,-4,-29,-78
-4,-29,-24,17,9,-26,-9,-19,0,-9,-29,-87
-14,-29,-14,21,0,-21,-4,-34,-4,-9,-24,-82
-24,-29,-4,26,-9,-17,0,-43,4,-9,-24,-68
0,-19,-19,9,9,-19,0,-63,4,-9,-29,-78
-19,-19,0,19,-9,-9,-4,-48,9,-9,-24,-78
-24,-9,14,17,-19,2,0,-24,24,-4,-14,-68
-24,-19,4,21,-14,-7,19,-14,19,-4,-19,-68
-24,-19,4,21,-14,-7,34,9,9,0,-29,-68
-9,-19,-9,14,0,-14,39,39,14,4,-24,-68
-9,-4,4,7,-7,0,58,53,14,4,-24,-63
-19,-39,-19,29,0,-29,19,39,0,-14,-29,-63
-29,-58,-29,43,0,-43,-19,19,-4,-24,-39,-73
-78,-87,-9,82,-34,-48,-24,-9,-9,-24,-48,-87
-63,-102,-39,82,-12,-70,-29,-34,-14,-19,-48,-87
-29,-39,-9,34,-9,-24,14,-19,0,-14,-34,-82
-9,9,19,0,-14,14,43,-9,14,-9,-24,-73
-39,0,39,19,-39,19,87,-9,19,-9,-24,-73
-29,9,39,9,-34,24,102,9,19,-9,-19,-68
-29,-24,4,26,-17,-9,43,-4,0,-19,-39,-87
-34,-43,-9,39,-12,-26,4,-24,-19,-34,-58,-112
-14,-58,-43,36,14,-51,-9,-39,-19,-43,-73,-112
-34,-73,-39,53,2,-56,-24,-48,-19,-58,-82,-112
4,-43,-48,19,26,-46,-4,-58,-14,-48,-68,-112
39,-24,-63,-7,51,-43,-4,-87,-14,-43,-68,-112
24,-39,-63,7,43,-51,-19,-58,-4,-29,-53,-102
4,-43,-48,19,26,-46,-34,-43,-9,-24,-48,-92
-73,-78,-4,75,-34,-41,-34,-9,-4,-39,-48,-92
-136,-78,58,107,-97,-9,9,43,14,-19,-39,-82
-68,-39,29,53,-48,-4,58,43,34,-9,-29,-73
-24,-29,-4,26,-9,-17,87,29,24,-9,-19,-73
-24,-29,-4,26,-9,-17,48,0,4,-14,-43,-87
-24,-53,-29,39,2,-41,-4,-43,-29,-43,-82,-117
-24,-43,-19,34,-2,-31,-14,-43,-19,-53,-73,-117
0,-4,-4,2,2,-4,-14,-43,-4,-43,-58,-112
-29,-19,9,24,-19,-4,-9,-53,-4,-43,-58,-102
-58,-43,14,51,-36,-14,0,-48,0,-34,-53,-87
-53,-58,-4,56,-24,-31,14,-24,-4,-24,-39,-87
-43,-73,-29,58,-7,-51,14,-19,-14,-24,-39,-97
-63,-63,0,63,-31,-31,4,-4,-4,-24,-39,-97
